paper_id,short_name,seed,clip,patience,max_epochs,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_RMSE,elapsed_s,is_collapsed
P2,EAAI_2024,0,125,20,200,23,41.2355,30426.04,3e-06,-0.108463,0.943603,43.7,3e-06,-2.4e-05,41.6717,7.1,True
P2,EAAI_2024,1,125,20,200,24,41.6058,34014.27,1e-06,-0.128461,0.952077,43.7,1e-06,-0.000524,41.6821,5.5,True
P2,EAAI_2024,2,125,20,200,132,11.8474,321.92,1.004694,0.908499,0.271108,43.7,0.953884,0.927759,11.2003,30.8,False
P2,EAAI_2024,3,125,20,200,100,12.5743,288.59,0.999221,0.896926,0.287742,43.7,0.948748,0.924453,11.4537,23.2,False
P2,EAAI_2024,4,125,20,200,23,41.571,33670.89,4e-06,-0.126575,0.951281,43.7,3e-06,-0.000419,41.68,5.4,True
P2,EAAI_2024,5,125,20,200,80,15.3118,725.45,0.989522,0.847161,0.350385,43.7,0.945928,0.902725,12.9968,18.7,False
P2,EAAI_2024,6,125,20,200,24,41.4531,32517.57,2e-06,-0.120196,0.948584,43.7,2e-06,-0.000143,41.6742,5.8,True
P2,EAAI_2024,7,125,20,200,143,13.0674,346.18,1.004976,0.888684,0.299024,43.7,0.951765,0.931166,10.933,33.6,False
P2,EAAI_2024,8,125,20,200,31,41.8351,36313.56,2e-06,-0.140937,0.957325,43.7,2e-06,-0.00151,41.7027,7.3,True
P2,EAAI_2024,9,125,20,200,23,41.306,31098.32,4e-06,-0.112258,0.945217,43.7,3e-06,-6e-06,41.6713,5.6,True
P3,Zheng_2017,0,125,10,200,13,41.2355,30426.04,3e-06,-0.108463,0.943603,43.7,3e-06,-2.4e-05,41.6717,3.0,True
P3,Zheng_2017,1,125,10,200,14,41.6058,34014.27,1e-06,-0.128461,0.952077,43.7,1e-06,-0.000524,41.6821,3.3,True
P3,Zheng_2017,2,125,10,200,106,11.9106,301.59,0.974614,0.907521,0.272553,43.7,0.92635,0.923853,11.4991,24.9,False
P3,Zheng_2017,3,125,10,200,14,41.9056,37032.53,2e-06,-0.144784,0.958938,43.7,2e-06,-0.001903,41.7109,3.2,True
P3,Zheng_2017,4,125,10,200,13,41.571,33670.89,4e-06,-0.126575,0.951281,43.7,3e-06,-0.000419,41.68,3.0,True
P3,Zheng_2017,5,125,10,200,14,41.4861,32838.7,1e-06,-0.121979,0.949338,43.7,1e-06,-0.000205,41.6755,3.3,True
P3,Zheng_2017,6,125,10,200,14,41.4531,32517.57,2e-06,-0.120196,0.948584,43.7,2e-06,-0.000143,41.6742,3.3,True
P3,Zheng_2017,7,125,10,200,14,41.758,35533.7,2e-06,-0.136736,0.955561,43.7,2e-06,-0.001126,41.6947,3.2,True
P3,Zheng_2017,8,125,10,200,21,41.8351,36313.56,2e-06,-0.140937,0.957325,43.7,2e-06,-0.00151,41.7027,4.8,True
P3,Zheng_2017,9,125,10,200,13,41.306,31098.32,4e-06,-0.112258,0.945217,43.7,3e-06,-6e-06,41.6713,3.0,True
P5,Elsherif_2025,0,125,999,25,25,41.2355,30426.04,3e-06,-0.108463,0.943603,43.7,3e-06,-2.4e-05,41.6717,5.6,True
P5,Elsherif_2025,1,125,999,25,25,41.6058,34014.27,1e-06,-0.128461,0.952077,43.7,1e-06,-0.000524,41.6821,6.5,True
P5,Elsherif_2025,2,125,999,25,25,41.8209,36168.85,1e-06,-0.14016,0.956999,43.7,1e-06,-0.001433,41.7011,5.8,True
P5,Elsherif_2025,3,125,999,25,25,41.6898,34849.92,1e-06,-0.133026,0.954,43.7,1e-06,-0.000829,41.6885,5.8,True
P5,Elsherif_2025,4,125,999,25,25,41.571,33670.89,4e-06,-0.126575,0.951281,43.7,3e-06,-0.000419,41.68,5.8,True
P5,Elsherif_2025,5,125,999,25,25,19.0279,1780.44,0.969025,0.763974,0.43542,43.7,0.933388,0.846598,16.3212,6.0,False
P5,Elsherif_2025,6,125,999,25,25,41.4531,32517.57,2e-06,-0.120196,0.948584,43.7,2e-06,-0.000143,41.6742,5.8,True
P5,Elsherif_2025,7,125,999,25,25,41.7454,35406.36,1e-06,-0.136046,0.955271,43.7,1e-06,-0.001067,41.6935,5.8,True
P5,Elsherif_2025,8,125,999,25,25,41.8351,36313.56,2e-06,-0.140937,0.957325,43.7,2e-06,-0.00151,41.7027,5.8,True
P5,Elsherif_2025,9,125,999,25,25,41.306,31098.32,4e-06,-0.112258,0.945217,43.7,3e-06,-6e-06,41.6713,6.0,True
