seed,protocol,val_split_seed,min_epochs,max_epochs,stop_epoch,RMSE,NASA,test_PDR,test_CBR,test_R2,test_RMSE,test_RMSE_const,ISS,elapsed_s,is_collapsed
0,corrected,0,30,300,149,14.8363,474.83,0.964753,0.329187,0.871547,14.8363,45.0695,143.192047,33.7,False
1,corrected,1,30,300,112,13.546,312.12,0.974449,0.300558,0.892918,13.546,45.0695,139.326416,25.4,False
2,corrected,2,30,300,113,13.7708,310.95,0.965768,0.305546,0.889335,13.7708,45.0695,152.182251,25.7,False
3,corrected,3,30,300,140,13.9662,359.91,0.993182,0.30988,0.886173,13.9662,45.0695,139.693054,31.7,False
4,corrected,4,30,300,123,14.831,392.43,0.971208,0.32907,0.871638,14.831,45.0695,159.572662,27.7,False
