label,n_runs,mpc_rate,rmse_mean,rmse_std,pdr_mean,r2_mean,stop_ep
GRU_gate,10,0.0,12.269400000000001,0.6748203201182108,1.0149294,0.9015973,80.9
LSTM_gate,10,0.6,30.18078,14.977914817104699,0.4031022,0.2745781,61.7
V1_fb1,10,0.4,24.29484,14.8005377775569,0.6063158,0.4867023,62.5
V2_fg1,10,0.0,12.956610000000001,0.9534764839493655,0.9972277999999999,0.8900302,98.7
