epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,3285.3469,1775.1069,0.0,-0.022238,0.999707,42.132,True,False
2,1743.6973,1737.7187,0.0,-0.000707,0.989123,41.686,True,False
3,1746.448,1740.048,0.0,-0.002049,0.989786,41.7139,False,False
4,1743.6619,1744.2501,0.0,-0.004469,0.99098,41.7642,False,False
5,1738.1374,1736.686,0.0,-0.000113,0.988829,41.6736,True,False
6,1744.538,1737.2182,0.0,-0.000419,0.988981,41.68,False,False
7,1749.0393,1742.8638,0.0,-0.00367,0.990586,41.7476,False,False
8,1743.2043,1736.5336,0.0,-2.5e-05,0.988786,41.6717,True,False
9,1742.8281,1736.5364,0.0,-2.6e-05,0.988787,41.6718,False,False
10,1742.5794,1740.8855,0.0,-0.002531,0.990024,41.7239,False,False
11,1744.8584,1751.6507,0.0,-0.00873,0.99308,41.8527,False,False
12,1746.5288,1739.5803,0.0,-0.001779,0.989653,41.7083,False,False
13,1750.7148,1745.5157,1e-06,-0.005197,0.99134,41.7794,False,False
14,1749.9833,1736.5531,0.0,-3.6e-05,0.988791,41.672,False,False
15,1743.5061,1757.5991,0.0,-0.012156,0.994765,41.9237,False,False
16,1743.2778,1740.7826,0.0,-0.002472,0.989995,41.7227,False,False
17,1744.2897,1738.2766,0.0,-0.001028,0.989282,41.6926,False,False
18,1732.9173,1797.4914,0.0,-0.035129,1.005991,42.3968,False,False
19,1747.9499,1737.8871,0.0,-0.000804,0.989171,41.688,False,False
20,1746.5958,1738.7362,0.0,-0.001293,0.989413,41.6982,False,False
21,1747.3403,1738.4476,0.0,-0.001127,0.989331,41.6947,False,False
22,1743.2632,1743.966,0.0,-0.004305,0.9909,41.7608,False,False
23,1742.6076,1768.3215,0.0,-0.018331,0.997795,42.0514,False,True
