seed,protocol,val_split_seed,min_epochs,max_epochs,stop_epoch,RMSE,NASA,test_PDR,test_CBR,test_R2,test_RMSE,test_RMSE_const,ISS,elapsed_s,is_collapsed
0,original,42,0,100,18,42.9205,30858.68,3e-06,0.952317,-0.075029,42.9205,45.0695,0.000284,6.7,True
1,original,42,0,100,19,43.2353,34410.61,1e-06,0.959302,-0.090857,43.2353,45.0695,0.000148,4.4,True
2,original,42,0,100,100,13.5548,338.84,0.922216,0.300752,0.89278,13.5548,45.0695,132.682297,22.7,False
3,original,42,0,100,35,43.3073,35238.79,1e-06,0.960899,-0.094494,43.3073,45.0695,0.000118,7.8,True
4,original,42,0,100,18,43.2056,34070.41,4e-06,0.958642,-0.089358,43.2056,45.0695,0.000386,4.0,True
