cond_a,cond_b,cond_c,seed,clip,stop_epoch,RMSE,NASA,test_PDR,test_R2,test_CBR,test_RMSE_const,val_PDR,val_R2,val_CBR,val_RMSE,elapsed_s,is_collapsed
A1_fixed,B2_from0,C1_unclipped,8,None,19,60.3237,778679.68,2e-06,-1.123576,0.80239,75.1801,1e-06,-0.000583,0.972668,87.4653,4.1,True
A1_fixed,B2_from0,C1_unclipped,9,None,18,54.6207,341481.28,2e-06,-0.741027,0.726531,75.1801,1e-06,-0.004926,0.974776,87.655,4.1,True
A1_fixed,B2_from0,C2_clip125,0,125,18,41.2355,30426.04,3e-06,-0.108463,0.943603,43.7,3e-06,-2.4e-05,0.988786,41.6717,3.9,True
A1_fixed,B2_from0,C2_clip125,1,125,19,41.6058,34014.27,1e-06,-0.128461,0.952077,43.7,1e-06,-0.000524,0.989032,41.6821,4.1,True
A1_fixed,B2_from0,C2_clip125,2,125,127,11.8474,321.92,1.004694,0.908499,0.271108,43.7,0.953884,0.927759,0.26576,11.2003,27.3,False
A1_fixed,B2_from0,C2_clip125,3,125,35,41.6898,34849.92,1e-06,-0.133026,0.954,43.7,1e-06,-0.000829,0.989183,41.6885,7.6,True
A1_fixed,B2_from0,C2_clip125,4,125,18,41.571,33670.89,4e-06,-0.126575,0.951281,43.7,3e-06,-0.000419,0.988981,41.68,3.9,True
A1_fixed,B2_from0,C2_clip125,5,125,75,15.3118,725.45,0.989522,0.847161,0.350385,43.7,0.945928,0.902725,0.308388,12.9968,16.0,False
A1_fixed,B2_from0,C2_clip125,6,125,19,41.4531,32517.57,2e-06,-0.120196,0.948584,43.7,2e-06,-0.000143,0.988844,41.6742,4.2,True
A1_fixed,B2_from0,C2_clip125,7,125,32,41.7454,35406.36,1e-06,-0.136046,0.955271,43.7,1e-06,-0.001067,0.989301,41.6935,6.9,True
A1_fixed,B2_from0,C2_clip125,8,125,26,41.8351,36313.56,2e-06,-0.140937,0.957325,43.7,2e-06,-0.00151,0.98952,41.7027,5.5,True
A1_fixed,B2_from0,C2_clip125,9,125,18,41.306,31098.32,4e-06,-0.112258,0.945217,43.7,3e-06,-6e-06,0.988776,41.6713,3.9,True
