epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8762.2848,6649.302,5e-06,-2.829161,81.5433,False,0.863721
2,4872.8083,2759.1261,3e-06,-0.588909,52.5274,False,0.868665
3,2130.5748,1745.2622,2e-06,-0.005051,41.7763,False,0.869294
4,1745.7295,1742.5583,2e-06,-0.003494,41.744,False,0.869362
5,1744.1448,1742.3467,2e-06,-0.003372,41.7414,False,0.869358
6,1741.2805,1742.2821,2e-06,-0.003335,41.7407,False,0.869352
7,1743.1912,1740.5537,2e-06,-0.00234,41.7199,False,0.869338
8,1735.7186,1739.9736,2e-06,-0.002006,41.713,False,0.869319
9,1740.0739,1740.7674,2e-06,-0.002463,41.7225,False,0.869307
10,1743.0638,1740.83,2e-06,-0.002499,41.7233,False,0.86929
11,1743.091,1741.611,2e-06,-0.002949,41.7326,False,0.86927
12,1745.9881,1740.5433,2e-06,-0.002334,41.7198,False,0.869238
13,1744.0974,1744.9029,2e-06,-0.004844,41.772,False,0.869219
14,1742.1213,1738.7607,2e-06,-0.001307,41.6984,False,0.86917
15,1740.6703,1743.1337,2e-06,-0.003826,41.7509,False,0.869141
16,1742.7794,1740.7939,2e-06,-0.002478,41.7228,False,0.869087
17,1737.3923,1741.904,2e-06,-0.003117,41.7361,False,0.869029
18,1743.1701,1744.3188,1e-06,-0.004508,41.765,False,0.868964
19,1741.5576,1742.8389,1e-06,-0.003656,41.7473,False,0.868899
20,1740.705,1745.7344,1e-06,-0.005323,41.782,False,0.86882
21,1741.5748,1740.3279,1e-06,-0.00221,41.7172,False,0.868711
22,1738.729,1741.3492,1e-06,-0.002798,41.7295,False,0.868614
23,1742.3626,1739.3083,1e-06,-0.001623,41.705,False,0.868502
24,1743.432,1739.2977,1e-06,-0.001617,41.7049,False,0.868381
25,1748.6811,1738.3714,1e-06,-0.001083,41.6938,False,0.868247
26,1741.4969,1740.0979,1e-06,-0.002077,41.7145,False,0.868099
27,1742.737,1750.0641,1e-06,-0.007817,41.8338,False,0.86795
28,1738.3257,1740.9982,1e-06,-0.002596,41.7253,False,0.867723
29,1741.6315,1738.953,1e-06,-0.001418,41.7008,False,0.867336
30,1742.8078,1739.6689,3e-06,-0.00183,41.7093,False,0.86674
31,1742.6223,1742.7665,5e-06,-0.003614,41.7465,False,0.866518
32,1743.1779,1742.6636,8e-06,-0.003555,41.7452,False,0.866186
33,1740.4972,1741.1238,1.2e-05,-0.002668,41.7268,False,0.865677
34,1741.036,1740.4033,2.2e-05,-0.002253,41.7181,False,0.864685
35,1738.6015,1738.2669,6.3e-05,-0.001023,41.6925,False,0.861452
36,1733.2646,1627.3938,0.037178,0.062826,40.341,False,0.823562
37,780.525,362.5602,0.829634,0.791211,19.041,False,0.704001
38,397.002,319.2175,0.885923,0.816171,17.8667,False,0.646081
39,382.3499,346.7991,0.865728,0.800287,18.6225,False,0.64181
40,382.4772,323.9597,0.862626,0.81344,17.9989,False,0.661196
41,364.6981,299.0709,0.889865,0.827773,17.2937,False,0.620666
42,348.6149,276.4335,0.87359,0.840809,16.6263,False,0.632343
43,349.9818,274.0496,0.903853,0.842182,16.5544,False,0.630436
44,321.2639,269.7596,0.917099,0.844652,16.4244,False,0.642977
45,310.5047,304.2058,0.882281,0.824816,17.4415,False,0.646894
46,298.4031,252.7632,0.849458,0.85444,15.8985,False,0.642485
47,283.6474,298.5348,0.89406,0.828082,17.2782,False,0.65001
48,280.8364,252.7457,0.92711,0.85445,15.898,False,0.651861
49,269.323,251.321,0.889181,0.855271,15.8531,False,0.647275
50,274.8338,199.5345,0.900619,0.885093,14.1257,False,0.640288
51,260.9881,266.4279,0.926751,0.846571,16.3226,False,0.636491
52,262.399,253.584,0.945125,0.853968,15.9243,False,0.638075
53,252.1521,209.8011,0.949904,0.879181,14.4845,False,0.645383
54,248.0025,192.4006,0.893183,0.889202,13.8709,False,0.638065
55,238.5104,199.3449,0.895109,0.885202,14.119,False,0.642705
56,239.4742,200.3397,0.899232,0.88463,14.1541,False,0.640398
57,238.3002,184.4381,0.94715,0.893787,13.5808,False,0.64253
58,235.5184,175.3022,0.925837,0.899048,13.2402,False,0.640162
59,226.477,191.4087,0.944938,0.889773,13.8351,False,0.640362
