epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8711.0074,6639.685,5e-06,-2.823623,81.4843,False,0.865377
2,4994.9709,2959.4339,3e-06,-0.704261,54.4007,False,0.870796
3,2263.015,1769.807,2e-06,-0.019186,42.0691,False,0.871564
4,1760.2172,1739.0187,2e-06,-0.001456,41.7015,False,0.87169
5,1741.7592,1742.3284,2e-06,-0.003362,41.7412,False,0.871706
6,1733.999,1742.28,2e-06,-0.003334,41.7406,False,0.871701
7,1745.4453,1741.1565,2e-06,-0.002687,41.7272,False,0.87169
8,1747.8713,1741.1451,2e-06,-0.00268,41.727,False,0.871687
9,1740.3995,1741.4787,2e-06,-0.002873,41.731,False,0.871683
10,1741.0776,1741.3772,2e-06,-0.002814,41.7298,False,0.871667
11,1740.1407,1740.0696,2e-06,-0.002061,41.7141,False,0.871651
12,1748.4512,1741.2819,2e-06,-0.002759,41.7287,False,0.871645
13,1746.955,1741.1042,2e-06,-0.002657,41.7265,False,0.871622
14,1743.8012,1741.0286,2e-06,-0.002613,41.7256,False,0.87159
15,1745.8329,1741.2518,2e-06,-0.002742,41.7283,False,0.871557
16,1743.4672,1741.313,2e-06,-0.002777,41.729,False,0.871509
17,1743.4759,1741.0416,2e-06,-0.002621,41.7258,False,0.87146
18,1740.991,1741.1739,1e-06,-0.002697,41.7274,False,0.871405
19,1742.4951,1741.4942,1e-06,-0.002881,41.7312,True,0.871344
