epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8747.8075,6835.5054,5e-06,-2.93639,82.6771,False,0.853833
2,5316.5713,3285.417,3e-06,-0.891986,57.3186,False,0.858602
3,2473.6333,1819.9463,3e-06,-0.04806,42.6608,False,0.859449
4,1773.1861,1738.2269,2e-06,-0.001,41.692,False,0.859632
5,1738.8394,1741.6253,2e-06,-0.002957,41.7328,False,0.859653
6,1748.7517,1742.2518,2e-06,-0.003318,41.7403,False,0.859665
7,1736.3879,1742.6534,2e-06,-0.003549,41.7451,False,0.859666
8,1739.2228,1741.1809,2e-06,-0.002701,41.7275,False,0.859666
9,1740.1601,1741.8298,2e-06,-0.003075,41.7352,False,0.859672
10,1744.5038,1741.0652,2e-06,-0.002634,41.7261,False,0.859672
11,1737.3934,1744.0271,2e-06,-0.00434,41.7616,False,0.859683
12,1742.5012,1741.5768,2e-06,-0.002929,41.7322,False,0.859678
13,1736.2868,1740.7934,2e-06,-0.002478,41.7228,False,0.859662
14,1737.9324,1742.9128,2e-06,-0.003698,41.7482,False,0.859655
15,1744.5319,1739.135,2e-06,-0.001523,41.7029,False,0.859623
16,1745.3694,1744.5982,2e-06,-0.004669,41.7684,False,0.859626
17,1743.3031,1739.2324,2e-06,-0.001579,41.7041,False,0.859595
18,1741.0563,1741.7059,2e-06,-0.003003,41.7337,False,0.859578
19,1746.515,1738.8541,1e-06,-0.001361,41.6996,True,0.859544
