epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8923.0469,7045.4409,5e-06,-3.057287,83.9371,False,0.858955
2,5367.9551,3160.6062,2e-06,-0.820111,56.2193,False,0.864858
3,2349.1536,1775.0323,2e-06,-0.022195,42.1311,False,0.865572
4,1757.8018,1740.0634,2e-06,-0.002057,41.7141,False,0.865686
5,1742.604,1741.2731,2e-06,-0.002754,41.7286,False,0.865697
6,1745.5476,1740.0612,2e-06,-0.002056,41.714,False,0.8657
7,1739.8742,1742.1012,2e-06,-0.003231,41.7385,False,0.865708
8,1740.8685,1740.6998,1e-06,-0.002424,41.7217,False,0.865709
9,1745.1157,1742.8209,1e-06,-0.003645,41.7471,False,0.865713
10,1747.5319,1739.4189,1e-06,-0.001686,41.7063,False,0.865694
11,1741.9766,1742.6276,1e-06,-0.003534,41.7448,False,0.865697
12,1740.2749,1744.3427,1e-06,-0.004522,41.7653,False,0.865682
13,1740.6657,1740.7533,1e-06,-0.002455,41.7223,False,0.865647
14,1747.125,1741.5165,1e-06,-0.002894,41.7315,False,0.865629
15,1742.1198,1742.2935,1e-06,-0.003342,41.7408,False,0.865607
16,1743.0861,1740.6565,1e-06,-0.002399,41.7212,False,0.865566
17,1748.8544,1741.1489,1e-06,-0.002683,41.7271,False,0.865522
18,1742.3431,1739.8218,1e-06,-0.001918,41.7112,False,0.865466
19,1737.6288,1745.8617,1e-06,-0.005397,41.7835,False,0.865423
20,1739.5951,1746.702,1e-06,-0.00588,41.7936,False,0.865371
21,1739.3007,1742.3359,1e-06,-0.003366,41.7413,False,0.865289
22,1733.729,1744.4741,1e-06,-0.004597,41.7669,False,0.86522
23,1740.133,1739.989,1e-06,-0.002015,41.7132,False,0.865121
24,1743.3444,1740.2522,1e-06,-0.002166,41.7163,False,0.865027
25,1742.5225,1741.2292,1e-06,-0.002729,41.728,True,0.864928
