epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped
1,8305.2717,5930.7268,9e-06,-2.415352,77.0112,False
2,4181.3682,2359.23,4e-06,-0.358619,48.5719,False
3,1957.9475,1737.1413,4e-06,-0.000375,41.679,False
4,1743.7461,1741.1419,4e-06,-0.002679,41.727,False
5,1737.4246,1741.83,4e-06,-0.003075,41.7352,False
6,1745.1749,1742.4649,3e-06,-0.00344,41.7428,False
7,1740.6226,1743.8397,3e-06,-0.004232,41.7593,False
8,1741.0538,1741.8862,3e-06,-0.003107,41.7359,False
9,1743.0456,1741.7356,2e-06,-0.00302,41.7341,False
10,1739.8432,1739.4161,2e-06,-0.001685,41.7063,False
11,1750.7277,1743.1197,2e-06,-0.003817,41.7507,False
12,1741.5483,1740.5247,5e-05,-0.002323,41.7196,False
13,1736.1829,1739.1644,0.000101,-0.00154,41.7033,False
14,1726.7624,1759.1916,0.000115,-0.013073,41.9427,False
15,1664.7934,1348.5249,0.198386,0.223419,36.7223,False
16,853.9106,588.2542,0.887575,0.66124,24.254,False
17,653.4603,497.7734,0.780273,0.713345,22.3108,False
18,558.4249,490.7677,0.787814,0.71738,22.1533,False
19,448.7639,315.1168,0.910548,0.818532,17.7515,False
20,367.6888,245.7761,0.908263,0.858464,15.6772,False
21,302.2563,280.503,0.935857,0.838466,16.7482,False
22,284.415,254.7705,0.868297,0.853284,15.9615,False
23,294.313,217.2963,0.865338,0.874865,14.741,False
24,261.9076,257.5174,0.889566,0.851702,16.0473,False
25,249.6245,249.2289,0.958964,0.856476,15.787,False
26,245.0127,190.4163,0.927909,0.890344,13.7991,False
27,234.9795,199.5324,0.895389,0.885094,14.1256,False
28,247.1256,206.2338,0.975853,0.881235,14.3608,False
29,234.0555,319.9079,0.991736,0.815773,17.886,False
30,245.2546,245.7961,1.008298,0.858452,15.6779,False
31,237.8416,178.3268,0.943489,0.897306,13.3539,False
32,232.6158,183.4329,0.903309,0.894366,13.5437,False
33,224.6416,201.8413,0.914756,0.883765,14.2071,False
34,223.055,202.6252,0.952098,0.883313,14.2346,False
35,213.9356,175.3497,0.929136,0.899021,13.242,False
36,219.0985,190.2104,0.957552,0.890463,13.7917,False
37,217.3427,206.0857,0.921308,0.881321,14.3557,False
38,213.2381,184.9585,0.888041,0.893487,13.5999,False
39,205.1333,168.3006,0.918752,0.90308,12.9731,False
40,200.3686,189.2872,0.982229,0.890994,13.7582,False
41,201.55,196.5523,0.934951,0.886811,14.0197,False
42,196.557,180.106,0.995169,0.896282,13.4204,False
43,195.8582,170.122,0.968201,0.902031,13.0431,False
44,204.0979,168.5551,0.939193,0.902933,12.9829,False
45,187.9861,186.3705,0.969968,0.892674,13.6518,False
46,192.0934,175.2141,0.933777,0.899099,13.2368,False
47,188.3177,175.9672,0.979933,0.898665,13.2653,False
48,186.3084,146.9111,0.947733,0.915398,12.1207,False
49,183.2148,156.0321,0.932265,0.910145,12.4913,False
50,180.6936,159.2333,0.939289,0.908302,12.6188,False
51,179.3294,137.1942,0.963123,0.920993,11.713,False
52,179.2888,204.9036,0.921288,0.882001,14.3145,False
53,178.7982,129.9288,0.955073,0.925177,11.3986,False
54,167.165,159.378,0.971907,0.908218,12.6245,False
55,175.6623,262.3967,0.967779,0.848893,16.1987,False
56,174.1852,157.4539,0.970847,0.909326,12.5481,False
57,173.8968,148.3813,0.980471,0.914551,12.1812,False
58,165.6524,156.998,0.97765,0.909589,12.5299,False
59,165.5636,200.6795,0.978736,0.884434,14.1661,False
60,173.4844,139.3145,0.965595,0.919772,11.8032,False
61,162.6989,161.2194,0.968566,0.907158,12.6972,False
62,163.5695,160.7251,0.905562,0.907443,12.6777,False
63,162.9206,181.2749,0.995489,0.895608,13.4638,False
64,160.8901,148.6947,0.943285,0.914371,12.194,False
65,158.5712,152.4676,0.923604,0.912198,12.3478,False
66,164.7678,146.9146,0.978337,0.915396,12.1208,False
67,162.8763,154.7338,0.970729,0.910893,12.4392,False
68,155.2049,133.8378,0.962614,0.922926,11.5688,True
