epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8700.2424,6516.5843,6e-06,-2.752732,80.7254,False,0.858882
2,4694.4919,2609.2871,3e-06,-0.502621,51.0812,False,0.86445
3,2058.6284,1739.8378,3e-06,-0.001928,41.7114,False,0.865119
4,1747.6234,1741.0196,3e-06,-0.002608,41.7255,False,0.865193
5,1747.9428,1741.0565,3e-06,-0.002629,41.726,False,0.8652
6,1740.5118,1740.1782,3e-06,-0.002124,41.7154,False,0.8652
7,1739.9899,1743.1581,3e-06,-0.00384,41.7511,False,0.865212
8,1744.279,1739.2828,3e-06,-0.001608,41.7047,False,0.865189
9,1737.9091,1740.7979,3e-06,-0.00248,41.7229,False,0.865193
10,1741.7934,1742.0705,2e-06,-0.003213,41.7381,False,0.865192
11,1743.5952,1740.685,2e-06,-0.002415,41.7215,False,0.865172
12,1743.2678,1744.3239,2e-06,-0.004511,41.7651,False,0.865161
13,1742.2738,1741.4573,2e-06,-0.00286,41.7308,False,0.865137
14,1738.3472,1741.2265,2e-06,-0.002727,41.728,False,0.865104
15,1743.4611,1745.079,2e-06,-0.004946,41.7741,False,0.865074
16,1742.2685,1743.1425,2e-06,-0.003831,41.751,False,0.865025
17,1743.3142,1741.1387,2e-06,-0.002677,41.727,False,0.864956
18,1741.957,1739.5038,2e-06,-0.001735,41.7074,False,0.864885
19,1741.3726,1741.3595,2e-06,-0.002804,41.7296,False,0.864814
20,1742.7013,1742.1507,2e-06,-0.00326,41.7391,False,0.864716
21,1740.9074,1739.5661,1e-06,-0.001771,41.7081,False,0.864603
22,1745.2145,1744.7916,1e-06,-0.00478,41.7707,False,0.864477
23,1743.4669,1743.9411,1e-06,-0.004291,41.7605,True,0.864239
