epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,ug_mean,rg_mean
1,8331.5747,6110.5567,4e-06,-2.518911,78.1701,False,0.26783,0.750934
2,4458.4239,2577.5651,3e-06,-0.484353,50.7697,False,0.246519,0.790116
3,2069.2075,1743.8371,2e-06,-0.004231,41.7593,False,0.246087,0.805989
4,1751.0398,1741.619,2e-06,-0.002953,41.7327,False,0.246247,0.809511
5,1742.5101,1740.9451,2e-06,-0.002565,41.7246,False,0.244561,0.811607
6,1742.3235,1742.2076,2e-06,-0.003292,41.7398,False,0.243869,0.8138
7,1741.5486,1741.2068,2e-06,-0.002716,41.7278,False,0.245905,0.815645
8,1741.8972,1739.5498,9.7e-05,-0.001762,41.7079,False,0.24152,0.816929
9,1718.4483,1497.0809,0.087987,0.13787,38.6921,False,0.425556,0.61857
10,1250.8134,474.0787,0.78205,0.72699,21.7733,False,0.408016,0.556357
11,442.8111,300.782,0.882854,0.826787,17.3431,False,0.317121,0.535378
12,373.5525,289.1108,0.91413,0.833509,17.0033,False,0.307356,0.524696
13,358.8715,310.9264,0.93848,0.820946,17.6331,False,0.317102,0.519975
14,356.862,277.6876,0.902071,0.840087,16.664,False,0.33603,0.515181
15,336.4719,252.3052,0.925918,0.854704,15.8841,False,0.345329,0.511856
16,326.6677,249.0215,0.938932,0.856595,15.7804,False,0.3624,0.519095
17,310.4291,241.7893,0.949147,0.86076,15.5496,False,0.352909,0.506374
18,303.2345,235.1882,0.942462,0.864561,15.3358,False,0.357561,0.496999
19,289.9928,263.5932,0.919884,0.848204,16.2356,False,0.357878,0.493307
20,274.7787,233.0788,0.903697,0.865776,15.2669,False,0.346759,0.479877
21,260.7314,227.9954,0.924692,0.868703,15.0995,False,0.326265,0.476387
22,249.5517,248.2425,0.913063,0.857044,15.7557,False,0.309375,0.466838
23,250.7665,193.0346,0.966391,0.888836,13.8937,False,0.301872,0.463749
24,236.4519,215.3993,0.939406,0.875957,14.6765,False,0.291727,0.455171
25,239.1449,197.519,0.918643,0.886254,14.0541,False,0.287278,0.457805
26,233.5366,211.5836,0.948064,0.878154,14.5459,False,0.284027,0.455186
27,225.3496,178.0108,0.942434,0.897488,13.3421,False,0.268328,0.449717
28,224.3403,182.825,0.895666,0.894716,13.5213,False,0.266526,0.451334
29,213.0396,168.2732,0.95444,0.903096,12.972,False,0.258922,0.448676
30,217.8429,164.3263,0.926036,0.905369,12.819,False,0.254224,0.445355
31,210.8257,166.6475,0.923047,0.904032,12.9092,False,0.244531,0.446342
32,203.6427,157.2703,0.961244,0.909432,12.5407,False,0.239449,0.448813
33,202.2832,153.6774,0.925043,0.911501,12.3967,False,0.230149,0.445456
34,201.6924,151.1561,0.928111,0.912953,12.2946,False,0.22401,0.447961
35,198.4575,179.316,0.940955,0.896737,13.3909,False,0.21624,0.443769
36,198.0844,153.8888,0.950672,0.911379,12.4052,False,0.215246,0.444161
37,191.4668,149.6954,0.940393,0.913794,12.235,False,0.206752,0.443834
38,185.0851,143.8387,0.923742,0.917167,11.9933,False,0.199059,0.44447
39,181.4806,147.6999,0.969174,0.914943,12.1532,False,0.191812,0.438305
40,193.1417,141.6865,0.950484,0.918406,11.9032,False,0.189753,0.439036
41,181.048,139.1901,0.947124,0.919844,11.7979,False,0.186582,0.43966
42,177.2242,146.9459,0.947132,0.915378,12.1221,False,0.180904,0.438845
43,174.8654,143.208,0.958858,0.91753,11.967,False,0.181752,0.435813
44,176.2153,140.1826,0.964396,0.919272,11.8399,False,0.174418,0.435024
45,173.4401,140.6729,0.964448,0.91899,11.8606,False,0.172931,0.432339
46,173.787,154.1874,0.968273,0.911207,12.4172,False,0.173463,0.437156
47,167.9109,134.9259,0.956427,0.9223,11.6158,False,0.166286,0.434635
48,165.5677,137.281,0.969926,0.920943,11.7167,False,0.167432,0.434562
49,167.4781,132.5644,0.939073,0.92366,11.5137,False,0.167443,0.436361
50,169.8324,147.8885,0.947396,0.914835,12.1609,False,0.166379,0.434828
51,169.2269,148.9848,0.980198,0.914203,12.2059,False,0.164724,0.432783
52,167.0945,125.1408,0.94488,0.927935,11.1866,False,0.163715,0.43274
53,161.9399,132.5025,0.974748,0.923695,11.511,False,0.15826,0.430533
54,159.7021,164.5068,0.971442,0.905265,12.826,False,0.154471,0.426447
55,163.7338,137.9301,0.956142,0.92057,11.7444,False,0.153503,0.426526
56,167.175,126.059,0.961651,0.927406,11.2276,False,0.152837,0.423699
57,158.0416,135.1539,0.970659,0.922168,11.6256,False,0.150829,0.425295
58,160.0324,132.1233,0.957562,0.923914,11.4945,False,0.148226,0.425585
59,156.4757,134.9781,0.955564,0.92227,11.618,False,0.14507,0.423445
60,153.6008,126.9954,0.981819,0.926867,11.2692,False,0.144898,0.424038
61,153.0282,134.7572,0.970911,0.922397,11.6085,False,0.144574,0.423445
62,153.9473,147.6049,0.959796,0.914998,12.1493,False,0.14613,0.42303
63,155.8043,139.0602,0.958209,0.919919,11.7924,False,0.146791,0.426063
64,153.7316,145.5154,0.976416,0.916201,12.063,False,0.140883,0.424039
65,150.7466,134.0174,0.932101,0.922823,11.5766,False,0.137619,0.418689
66,149.0941,133.0461,0.978838,0.923382,11.5346,False,0.137741,0.423901
67,148.0791,164.8604,0.943621,0.905061,12.8398,True,0.133656,0.417588
