epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped
95,141.9162,142.1136,0.928137,0.91816,11.9211,False
96,142.0148,148.5845,0.968803,0.914434,12.1895,False
97,141.0693,150.8753,0.946625,0.913115,12.2831,False
98,139.3343,160.9204,0.944563,0.90733,12.6854,False
99,147.9081,131.8667,0.973032,0.924061,11.4833,False
100,138.6996,132.6752,0.965455,0.923596,11.5185,False
101,140.309,135.3459,0.9605,0.922058,11.6338,False
102,145.0669,150.2044,0.964431,0.913501,12.2558,False
103,137.8612,162.6836,0.973319,0.906315,12.7547,False
104,142.8875,152.7717,0.935511,0.912023,12.3601,False
105,136.3572,127.9502,0.946653,0.926317,11.3115,False
106,136.7229,146.308,0.91842,0.915745,12.0958,False
107,139.8121,142.73,0.912154,0.917805,11.947,False
108,142.5287,137.2091,0.963904,0.920985,11.7136,False
109,135.1771,177.3821,0.991355,0.89785,13.3185,False
110,138.2877,146.2436,0.935177,0.915782,12.0931,False
111,133.0984,147.2351,0.969324,0.915211,12.134,False
112,136.4665,155.5076,0.964519,0.910447,12.4703,False
113,135.3887,129.9246,0.959965,0.92518,11.3984,False
114,132.2064,146.1324,0.941408,0.915846,12.0885,False
115,130.442,148.4366,0.960343,0.914519,12.1835,False
116,132.6002,173.9044,0.92341,0.899853,13.1873,False
117,130.004,181.876,0.953938,0.895262,13.4861,False
118,128.6388,140.6937,0.93843,0.918978,11.8614,False
119,127.6147,133.0194,0.953436,0.923398,11.5334,False
120,133.0242,135.6584,0.941459,0.921878,11.6472,True
