epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped
1,8579.3895,6701.5727,6e-06,-2.859262,81.8631,False
2,5215.3582,3187.8478,3e-06,-0.835799,56.461,False
3,2390.8547,1792.5519,2e-06,-0.032284,42.3385,False
4,1767.6189,1738.6915,2e-06,-0.001267,41.6976,False
5,1743.6125,1740.9357,2e-06,-0.00256,41.7245,False
6,1743.8212,1743.251,2e-06,-0.003893,41.7523,False
7,1741.4496,1740.1265,2e-06,-0.002094,41.7148,False
8,1739.5212,1741.6923,2e-06,-0.002996,41.7336,False
9,1737.9449,1739.906,2e-06,-0.001967,41.7122,False
10,1737.1121,1740.6246,2e-06,-0.002381,41.7208,False
11,1740.527,1741.945,2e-06,-0.003141,41.7366,False
12,1741.1451,1740.7638,2e-06,-0.002461,41.7225,False
13,1749.2167,1741.077,2e-06,-0.002641,41.7262,False
14,1744.6017,1740.2162,2e-06,-0.002145,41.7159,False
15,1747.614,1738.4186,1e-06,-0.00111,41.6943,False
16,1737.3861,1742.7863,1e-06,-0.003626,41.7467,False
17,1751.1436,1738.3166,1e-06,-0.001052,41.6931,False
18,1746.2349,1740.9437,1e-06,-0.002564,41.7246,False
19,1741.3271,1743.1229,1e-06,-0.003819,41.7507,False
20,1739.9812,1743.1603,1e-06,-0.003841,41.7512,False
21,1737.9212,1741.1516,1e-06,-0.002684,41.7271,False
22,1740.5093,1742.6475,2e-06,-0.003546,41.745,False
23,1741.8222,1740.9535,4e-06,-0.00257,41.7247,False
24,1743.1306,1744.8741,7e-06,-0.004828,41.7717,False
25,1736.4991,1743.0288,1.1e-05,-0.003765,41.7496,False
26,1739.332,1740.1951,4.6e-05,-0.002133,41.7156,False
27,1743.3784,1740.3214,3.3e-05,-0.002206,41.7172,False
28,1740.5967,1734.5641,0.001747,0.001109,41.6481,False
29,1592.5581,734.5767,0.443075,0.576976,27.1031,False
30,466.7759,321.158,0.865885,0.815053,17.9209,False
31,383.9251,303.841,0.886441,0.825026,17.431,False
32,364.2091,278.8458,0.94061,0.83942,16.6987,False
33,312.0947,253.6922,0.936074,0.853905,15.9277,False
34,293.18,260.6427,0.909677,0.849903,16.1444,False
35,273.0421,226.092,0.960938,0.869799,15.0364,False
36,261.5836,247.0445,0.916384,0.857733,15.7177,False
37,262.0597,236.5507,0.933754,0.863777,15.3802,False
38,244.77,219.9307,0.947301,0.873348,14.8301,False
39,234.6492,192.4083,0.944119,0.889197,13.8711,False
40,231.0244,184.8006,0.929737,0.893578,13.5941,False
41,240.6168,192.4229,0.937932,0.889189,13.8717,False
42,226.8842,188.762,0.946542,0.891297,13.7391,False
43,219.3284,196.4743,0.942356,0.886856,14.0169,False
44,219.7719,199.9626,0.934965,0.884847,14.1408,False
45,218.1747,183.3882,0.97487,0.894392,13.5421,False
46,214.8274,174.9812,0.932926,0.899233,13.228,False
47,214.5517,202.3987,1.009942,0.883444,14.2267,False
48,215.6997,190.6631,0.926872,0.890202,13.8081,False
49,208.9473,199.4448,0.945736,0.885145,14.1225,False
50,207.544,203.8964,0.979068,0.882581,14.2792,False
51,210.9058,174.8426,0.960364,0.899313,13.2228,False
52,209.8261,175.8581,0.958087,0.898728,13.2612,False
53,203.9567,173.1824,0.980914,0.900269,13.1599,False
54,205.2815,174.6097,0.933519,0.899447,13.214,False
55,202.1477,172.7115,0.963906,0.90054,13.142,False
56,196.9708,188.796,0.980503,0.891277,13.7403,False
57,196.4038,173.5124,0.951215,0.900079,13.1724,False
58,188.1268,191.8095,0.99866,0.889542,13.8495,False
59,193.9778,158.063,0.980508,0.908976,12.5723,False
60,187.6786,249.156,0.961458,0.856518,15.7847,False
61,186.95,174.7842,0.945166,0.899346,13.2206,False
62,188.8409,183.7281,0.936519,0.894196,13.5546,False
63,183.5542,171.2117,0.964347,0.901404,13.0848,False
64,182.8455,166.4291,0.94073,0.904158,12.9007,False
65,180.0258,172.182,0.953446,0.900845,13.1218,False
66,176.2199,174.157,0.967663,0.899707,13.1969,False
67,182.0409,156.7796,0.953599,0.909715,12.5212,False
68,179.3071,151.8329,0.974546,0.912563,12.322,False
