epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,ug_mean,rg_mean
1,8488.5515,6299.3452,2e-06,-2.62763,79.3684,False,0.26058,0.826808
2,4538.0248,2544.0191,1e-06,-0.465035,50.4383,False,0.249014,0.856287
3,2024.9739,1738.8776,1e-06,-0.001375,41.6999,False,0.247788,0.862153
4,1742.714,1742.3914,1e-06,-0.003398,41.742,False,0.247294,0.86296
5,1736.2871,1740.9573,1e-06,-0.002572,41.7248,False,0.247473,0.862597
6,1741.3101,1724.3659,0.004747,0.006982,41.5255,False,0.306454,0.810029
7,1519.1108,1203.3943,0.218235,0.306996,34.69,False,0.444449,0.588725
8,778.2112,351.2824,0.74853,0.797706,18.7425,False,0.349413,0.580379
9,402.5188,303.3597,0.898323,0.825303,17.4172,False,0.30953,0.579642
10,373.4925,279.7139,0.903226,0.83892,16.7246,False,0.300109,0.570694
11,363.4911,277.6192,0.946105,0.840126,16.6619,False,0.292883,0.563977
12,360.7024,281.098,0.920014,0.838123,16.766,False,0.287387,0.55551
13,349.8148,268.1932,0.897752,0.845554,16.3766,False,0.284309,0.550532
14,348.4311,267.6143,0.945603,0.845888,16.3589,False,0.279567,0.552943
15,342.9577,259.2367,0.937341,0.850712,16.1008,False,0.280283,0.548857
16,343.6976,264.9843,0.940323,0.847402,16.2783,False,0.277299,0.54835
17,339.2814,269.0581,0.963421,0.845056,16.403,False,0.272429,0.547795
18,338.2576,259.6662,0.948197,0.850465,16.1142,False,0.275264,0.546085
19,332.0426,250.7773,0.934766,0.855584,15.836,False,0.276203,0.550849
20,329.5631,248.6545,0.932867,0.856806,15.7688,False,0.272842,0.552943
21,322.5753,260.8536,0.913209,0.849781,16.151,False,0.273991,0.553793
22,326.2167,250.4708,0.921938,0.85576,15.8263,False,0.281266,0.553662
23,319.0833,267.6254,0.888738,0.845881,16.3593,False,0.279621,0.542973
24,313.5123,254.8188,0.921295,0.853256,15.963,False,0.27949,0.544345
25,315.9435,234.9939,0.931581,0.864673,15.3295,False,0.2798,0.5369
26,305.1353,231.9398,0.92459,0.866432,15.2296,False,0.276547,0.531458
27,300.2299,237.1724,0.89877,0.863419,15.4004,False,0.274279,0.519869
28,289.1015,223.4912,0.932265,0.871297,14.9496,False,0.271902,0.515582
29,282.4465,232.7177,0.905488,0.865984,15.2551,False,0.266971,0.506158
30,269.8433,238.3283,0.913546,0.862753,15.4379,False,0.258503,0.501261
31,263.1372,225.1872,0.914961,0.870321,15.0062,False,0.250868,0.492003
32,256.2487,268.1092,0.908294,0.845603,16.374,False,0.244073,0.486679
33,251.2362,209.4936,0.940191,0.879358,14.4739,False,0.238206,0.476874
34,243.37,233.5813,0.934442,0.865487,15.2834,False,0.231866,0.47502
35,239.5275,194.6477,0.94297,0.887907,13.9516,False,0.226618,0.469624
36,233.8676,199.3342,0.956592,0.885209,14.1186,False,0.216144,0.467986
37,228.4234,183.1949,0.93992,0.894503,13.535,False,0.21079,0.467818
38,222.7185,200.3128,0.922545,0.884645,14.1532,False,0.207332,0.464185
39,232.6601,187.0792,0.930916,0.892266,13.6777,False,0.208263,0.460917
40,221.136,171.3168,0.98091,0.901343,13.0888,False,0.202068,0.457432
41,217.2717,171.9155,0.993415,0.900998,13.1117,False,0.196368,0.457679
42,210.8231,159.0906,0.97476,0.908384,12.6131,False,0.196623,0.457516
43,213.2775,156.2954,0.947722,0.909994,12.5018,False,0.190711,0.455432
44,205.2581,160.7168,0.944052,0.907447,12.6774,False,0.18784,0.456182
45,205.5601,176.6785,0.934481,0.898255,13.292,False,0.188889,0.455287
46,201.7754,150.7514,0.967546,0.913186,12.2781,False,0.1865,0.454419
47,198.1143,169.798,0.934806,0.902218,13.0307,False,0.184966,0.45205
48,195.8217,145.5687,0.938802,0.916171,12.0652,False,0.18369,0.452658
49,199.1202,152.4602,0.930816,0.912202,12.3475,False,0.178396,0.449699
50,189.8506,158.5826,0.975068,0.908676,12.593,False,0.177019,0.44728
51,192.4707,160.4012,0.944993,0.907629,12.665,False,0.179243,0.444738
52,188.9825,142.4879,0.956894,0.917945,11.9368,False,0.17134,0.445547
53,180.0171,152.2914,0.9476,0.912299,12.3406,False,0.170084,0.442824
54,180.647,142.7995,0.938096,0.917765,11.9499,False,0.169202,0.443579
55,180.4079,135.7018,0.92316,0.921853,11.6491,False,0.174235,0.440641
56,182.2093,151.0838,1.005337,0.912995,12.2916,False,0.170605,0.438731
57,176.3409,137.0082,0.953553,0.921101,11.7051,False,0.16939,0.43698
58,172.9029,134.9473,0.936515,0.922287,11.6167,False,0.178618,0.4412
59,172.877,138.2212,0.93881,0.920402,11.7568,False,0.172182,0.440051
60,171.1115,143.5057,0.960301,0.917359,11.9794,False,0.169401,0.436745
61,174.0833,147.1256,0.966458,0.915274,12.1295,False,0.164883,0.433591
62,176.3687,141.1583,0.956858,0.918711,11.881,False,0.170465,0.431742
63,167.7885,160.2484,0.959443,0.907717,12.6589,False,0.168928,0.427958
64,170.3854,139.8853,0.949825,0.919444,11.8273,False,0.17496,0.426717
65,165.621,139.7365,0.960421,0.919529,11.821,False,0.168087,0.427203
66,164.4186,145.2786,0.978773,0.916338,12.0532,False,0.165833,0.42576
67,167.6709,131.0467,0.971522,0.924534,11.4476,False,0.177503,0.427476
68,162.9327,154.3826,0.973073,0.911095,12.4251,False,0.170045,0.423325
69,164.7439,128.9482,0.94799,0.925742,11.3555,False,0.173849,0.426955
70,161.5544,136.165,0.963544,0.921586,11.669,False,0.173065,0.425798
71,158.8359,138.7965,0.965417,0.920071,11.7812,False,0.173667,0.424832
72,159.0613,136.7305,0.94442,0.92126,11.6932,False,0.176799,0.424884
73,161.8967,130.5304,0.955129,0.924831,11.425,False,0.17174,0.420474
74,155.037,135.2078,0.988096,0.922137,11.6279,False,0.168141,0.422188
75,155.1381,145.5653,0.969539,0.916173,12.065,False,0.167779,0.420045
76,159.3615,136.3953,0.961752,0.921454,11.6788,False,0.16738,0.422798
77,154.6021,126.5103,0.951324,0.927146,11.2477,False,0.171757,0.420484
78,153.2869,146.0272,0.946894,0.915907,12.0842,False,0.170825,0.420651
79,154.0023,146.5137,0.961659,0.915627,12.1043,False,0.170337,0.423907
80,154.9819,137.1602,0.956815,0.921013,11.7115,False,0.16708,0.422015
81,156.4491,128.178,0.958589,0.926186,11.3216,False,0.165774,0.418882
82,150.9457,126.8954,0.972347,0.926924,11.2648,False,0.164749,0.420501
83,147.4786,140.5749,0.979505,0.919047,11.8564,False,0.163429,0.421594
84,148.5583,124.9546,0.968201,0.928042,11.1783,False,0.161603,0.416345
85,149.4002,142.1555,0.972487,0.918136,11.9229,False,0.160133,0.416079
86,146.8046,145.1338,0.957598,0.916421,12.0471,False,0.164712,0.419695
87,146.2576,130.3131,0.969059,0.924956,11.4155,False,0.157372,0.417401
88,144.2381,131.5068,0.949155,0.924269,11.4676,False,0.162672,0.416267
89,149.7985,131.9383,0.95579,0.92402,11.4864,False,0.158087,0.417154
90,143.6422,130.7729,0.945032,0.924691,11.4356,False,0.158959,0.4147
91,145.6925,129.346,0.960698,0.925513,11.373,False,0.15965,0.415449
92,144.5797,143.7824,0.970128,0.917199,11.9909,False,0.162744,0.415631
93,144.6742,137.8726,0.974235,0.920603,11.7419,False,0.149756,0.409939
94,140.5854,140.8404,0.97245,0.918894,11.8676,False,0.154009,0.413293
95,143.4105,138.3001,0.965914,0.920357,11.7601,False,0.160025,0.411525
96,143.6056,127.2589,0.964121,0.926715,11.2809,False,0.152402,0.40816
97,139.3809,130.7688,0.985115,0.924694,11.4354,False,0.155776,0.412247
98,141.6159,133.3157,0.969598,0.923227,11.5462,False,0.159913,0.412745
99,140.7142,126.4282,0.973176,0.927193,11.244,True,0.157825,0.410911
