epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8745.7214,6566.1574,6e-06,-2.78128,81.0318,False,0.851958
2,4744.6,2641.0164,3e-06,-0.520893,51.3908,False,0.85754
3,2068.7779,1739.9787,3e-06,-0.002009,41.7131,False,0.858187
4,1737.2509,1740.8626,3e-06,-0.002518,41.7236,False,0.858284
5,1742.7184,1739.9898,2e-06,-0.002015,41.7132,False,0.858327
6,1744.0546,1740.341,2e-06,-0.002217,41.7174,False,0.858382
7,1733.2295,1742.8593,2e-06,-0.003668,41.7476,False,0.858453
8,1741.0134,1740.2006,2e-06,-0.002137,41.7157,False,0.858517
9,1742.5936,1741.3806,2e-06,-0.002816,41.7299,False,0.85862
10,1747.8065,1739.0227,2e-06,-0.001458,41.7016,False,0.858734
11,1734.1671,1739.9415,2e-06,-0.001987,41.7126,False,0.858917
12,1744.4023,1740.2813,2e-06,-0.002183,41.7167,False,0.859251
13,1741.7779,1745.1368,2e-06,-0.004979,41.7748,False,0.860454
14,1743.8153,1745.033,4.2e-05,-0.004919,41.7736,False,0.869096
15,1742.7391,1737.7681,0.000299,-0.000736,41.6865,False,0.868679
16,1680.9836,1385.9748,0.140809,0.201853,37.2287,False,0.85374
17,834.064,347.4864,0.876574,0.799892,18.641,False,0.759787
18,469.5145,308.9292,0.882614,0.822096,17.5764,False,0.694429
19,402.4305,288.654,0.896612,0.833772,16.9898,False,0.656962
20,368.209,348.7421,0.972038,0.799168,18.6746,False,0.66116
21,367.2451,300.9952,0.928442,0.826665,17.3492,False,0.642374
22,347.6447,267.4576,0.910495,0.845978,16.3541,False,0.643229
23,328.2772,247.9235,0.904653,0.857227,15.7456,False,0.657976
24,312.6775,297.9675,0.98043,0.828408,17.2617,False,0.657256
25,308.0839,227.1259,0.935484,0.869204,15.0707,False,0.64782
26,291.9985,223.907,0.925147,0.871058,14.9635,False,0.653476
27,290.3479,284.9973,0.91434,0.835877,16.8819,False,0.666645
28,285.2332,287.094,0.926219,0.83467,16.9438,False,0.670609
29,281.8761,210.3237,0.900706,0.87888,14.5025,False,0.665973
30,260.2876,252.2925,0.902806,0.854711,15.8837,False,0.668736
31,253.0622,196.6634,0.94952,0.886747,14.0237,False,0.65743
32,248.4319,199.2465,0.978526,0.885259,14.1155,False,0.669333
33,244.6502,204.3187,0.887195,0.882338,14.294,False,0.658807
34,244.5646,184.3055,0.937663,0.893863,13.5759,False,0.664622
35,238.8067,218.3593,0.927899,0.874253,14.777,False,0.671321
36,239.6699,179.0229,0.947856,0.896905,13.3799,False,0.670091
37,232.924,196.9076,0.929382,0.886606,14.0324,False,0.670011
38,227.0466,178.2179,0.963702,0.897369,13.3498,False,0.664972
39,221.8578,200.0022,0.926786,0.884824,14.1422,False,0.660579
40,224.5889,185.6699,0.928776,0.893077,13.6261,False,0.675031
41,221.5505,172.2407,0.973951,0.900811,13.1241,False,0.678212
42,216.4675,164.6678,0.950453,0.905172,12.8323,False,0.671372
43,215.721,183.4583,0.955062,0.894351,13.5447,False,0.679706
44,211.6524,233.849,0.936298,0.865332,15.2921,False,0.675252
45,223.735,162.2799,0.96534,0.906547,12.7389,False,0.67571
46,212.0699,176.1985,0.931197,0.898532,13.274,False,0.68128
47,208.0171,223.8014,0.927325,0.871119,14.96,False,0.667152
48,208.5293,158.8764,0.963221,0.908507,12.6046,False,0.677621
49,205.1891,164.708,0.939882,0.905149,12.8339,False,0.681039
50,203.4217,157.4354,0.956989,0.909337,12.5473,False,0.677356
51,205.9802,156.878,0.952162,0.909658,12.5251,False,0.682572
52,201.2515,170.6413,0.951202,0.901732,13.063,False,0.683744
53,201.8954,150.677,0.904011,0.913229,12.2751,False,0.679074
54,193.2862,163.7997,0.959283,0.905672,12.7984,False,0.686759
55,201.576,183.0861,0.951031,0.894565,13.5309,False,0.684929
56,193.4871,169.8921,0.983732,0.902164,13.0343,False,0.692331
57,194.1971,148.0275,0.95475,0.914755,12.1667,False,0.675288
58,189.4058,166.8341,0.949169,0.903925,12.9164,False,0.689835
59,186.7982,165.1588,0.939391,0.904889,12.8514,False,0.692337
60,191.4069,154.9526,0.923925,0.910767,12.448,False,0.697055
61,184.8689,144.8944,0.942419,0.916559,12.0372,False,0.691303
62,190.397,185.5402,0.956254,0.893152,13.6213,False,0.687982
63,185.7656,156.622,0.984292,0.909805,12.5149,False,0.689462
64,181.4866,142.6251,0.950532,0.917866,11.9426,False,0.689661
65,181.6602,139.4826,0.976086,0.919676,11.8103,False,0.690054
66,180.4372,143.285,0.971825,0.917486,11.9702,False,0.694691
67,177.8109,136.8976,0.953758,0.921164,11.7003,False,0.697215
68,179.5271,193.9712,0.939716,0.888297,13.9274,False,0.693772
69,178.2036,139.1528,0.933649,0.919866,11.7963,False,0.688694
70,173.178,139.1684,0.947149,0.919857,11.797,False,0.70155
71,166.7606,178.976,0.947495,0.896932,13.3782,False,0.702892
72,166.7464,133.7737,0.94289,0.922963,11.5661,False,0.701459
73,170.946,147.1251,0.936991,0.915274,12.1295,False,0.703407
74,164.8626,139.8329,0.967033,0.919474,11.8251,False,0.708461
75,171.8073,135.9062,0.978075,0.921735,11.6579,False,0.70664
76,167.6932,149.9618,0.989951,0.913641,12.2459,False,0.708796
77,164.2922,168.9504,0.958124,0.902706,12.9981,False,0.707996
