epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,fg_mean
1,8747.3806,6689.211,6e-06,-2.852143,81.7876,False,0.861601
2,5040.6237,2979.6232,3e-06,-0.715888,54.5859,False,0.866648
3,2278.1886,1770.6938,3e-06,-0.019697,42.0796,False,0.867437
4,1747.0846,1739.6145,2e-06,-0.001799,41.7087,False,0.867595
5,1738.1245,1741.8896,2e-06,-0.003109,41.736,False,0.867637
6,1739.1742,1742.8203,2e-06,-0.003645,41.7471,False,0.867677
7,1745.3757,1740.664,2e-06,-0.002403,41.7213,False,0.867709
8,1739.5186,1741.5414,2e-06,-0.002909,41.7318,False,0.867751
9,1747.7841,1742.788,2e-06,-0.003626,41.7467,False,0.867794
10,1745.0389,1740.9218,2e-06,-0.002552,41.7244,False,0.867818
11,1739.5184,1744.1461,2e-06,-0.004408,41.763,False,0.867862
12,1742.4341,1740.9449,2e-06,-0.002565,41.7246,False,0.867888
13,1743.1285,1741.48,2e-06,-0.002873,41.731,False,0.867922
14,1749.8389,1740.5537,2e-06,-0.00234,41.7199,False,0.867938
15,1745.3909,1739.3885,2e-06,-0.001669,41.706,False,0.867954
16,1753.2077,1743.781,2e-06,-0.004198,41.7586,False,0.867988
17,1749.1431,1742.6389,2e-06,-0.003541,41.7449,False,0.867996
18,1743.495,1741.1156,2e-06,-0.002663,41.7267,False,0.868001
19,1739.7807,1745.9601,2e-06,-0.005453,41.7847,False,0.86801
20,1745.188,1745.3431,1e-06,-0.005098,41.7773,False,0.868002
21,1738.1224,1737.9789,1e-06,-0.000857,41.6891,False,0.867971
22,1737.6761,1739.364,1e-06,-0.001655,41.7057,False,0.867954
23,1737.0082,1743.1001,1e-06,-0.003806,41.7505,False,0.86794
24,1739.2687,1745.2462,1e-06,-0.005042,41.7761,False,0.867905
25,1737.3479,1742.3006,1e-06,-0.003346,41.7409,False,0.867856
26,1740.1592,1741.8882,1e-06,-0.003108,41.7359,False,0.86782
27,1741.703,1741.9327,1e-06,-0.003134,41.7365,False,0.867766
28,1744.5448,1740.1923,1e-06,-0.002132,41.7156,False,0.867704
29,1739.3737,1741.8383,1e-06,-0.00308,41.7353,False,0.867642
30,1741.0964,1741.432,1e-06,-0.002846,41.7305,False,0.867565
31,1742.6487,1740.2475,1e-06,-0.002164,41.7163,False,0.867477
32,1745.0922,1744.4709,1e-06,-0.004596,41.7669,False,0.867391
33,1740.1683,1743.0152,1e-06,-0.003757,41.7494,False,0.867278
34,1746.2652,1744.6753,1e-06,-0.004713,41.7693,False,0.867162
35,1743.2259,1738.596,1e-06,-0.001212,41.6965,False,0.86701
36,1744.4639,1740.018,1e-06,-0.002031,41.7135,True,0.866873
