epoch,tr_loss,va_loss,va_PDR,va_R2,va_RMSE,stopped,ug_mean,rg_mean
1,8639.5854,6608.0228,2e-06,-2.805389,81.2897,False,0.245826,0.797192
2,4886.6119,2820.6384,1e-06,-0.624333,53.1097,False,0.229071,0.826797
3,2167.293,1751.2215,1e-06,-0.008483,41.8476,False,0.228489,0.834372
4,1752.025,1740.8654,1e-06,-0.002519,41.7237,False,0.228713,0.835829
5,1740.8746,1741.5103,1e-06,-0.002891,41.7314,False,0.229683,0.836509
6,1739.5215,1741.2546,1e-06,-0.002743,41.7283,False,0.230788,0.837046
7,1739.8107,1741.0326,1e-06,-0.002616,41.7257,False,0.229736,0.837499
8,1736.564,1741.8243,1e-06,-0.003071,41.7352,False,0.231916,0.837675
9,1746.6889,1743.073,1e-06,-0.003791,41.7501,False,0.233632,0.837166
10,1742.1368,1740.6955,0.0,-0.002421,41.7216,False,0.235674,0.835126
11,1742.1697,1741.1184,0.0,-0.002665,41.7267,False,0.239537,0.83171
12,1738.5218,1744.9182,1e-06,-0.004853,41.7722,False,0.245289,0.83098
13,1740.3448,1728.8337,0.002989,0.004409,41.5792,False,0.239412,0.835919
14,1530.5481,1078.3404,0.269452,0.379012,32.8381,False,0.322809,0.653072
15,564.7636,311.9798,0.867239,0.820339,17.6629,False,0.251044,0.602799
16,372.0607,311.0356,0.959255,0.820883,17.6362,False,0.224853,0.599043
17,367.5313,277.4709,0.937385,0.840212,16.6575,False,0.212748,0.587224
18,354.1603,287.8275,0.89664,0.834248,16.9655,False,0.214523,0.580945
19,348.4044,276.1643,0.928788,0.840964,16.6182,False,0.216157,0.574222
20,343.6617,294.0748,0.920195,0.83065,17.1486,False,0.215409,0.559289
21,343.3171,281.0053,0.897857,0.838176,16.7632,False,0.219105,0.55988
22,339.621,292.0308,0.873957,0.831827,17.0889,False,0.220407,0.559276
23,336.0662,271.4466,0.911565,0.843681,16.4756,False,0.213668,0.558069
24,334.1862,262.6483,0.919259,0.848748,16.2064,False,0.231685,0.558106
25,333.496,268.3562,0.940943,0.845461,16.3816,False,0.235275,0.5561
26,326.1801,257.0781,0.897972,0.851955,16.0337,False,0.225731,0.553578
27,318.8836,239.7074,0.932687,0.861959,15.4825,False,0.223787,0.553952
28,322.8246,264.6521,0.929751,0.847594,16.2681,False,0.227251,0.553054
29,314.1944,256.2098,0.928321,0.852455,16.0066,False,0.225268,0.551994
30,307.72,255.6162,0.923057,0.852797,15.988,False,0.216553,0.545613
31,323.9271,259.6855,0.881288,0.850454,16.1148,False,0.221027,0.549768
32,310.003,250.2397,0.955031,0.855893,15.819,False,0.227771,0.539963
33,304.5325,251.9541,0.931276,0.854906,15.8731,False,0.23247,0.534948
34,300.6941,236.7795,0.928073,0.863645,15.3876,False,0.228601,0.523943
35,283.554,220.1279,0.93072,0.873234,14.8367,False,0.218414,0.508119
36,269.0807,213.5427,0.937523,0.877026,14.6131,False,0.212382,0.501687
37,254.3615,215.8721,0.908103,0.875685,14.6926,False,0.206066,0.493434
38,243.459,208.8007,0.942461,0.879757,14.4499,False,0.198971,0.486004
39,241.1677,216.9576,0.919871,0.87506,14.7295,False,0.191281,0.482848
40,236.1758,232.0565,0.892422,0.866365,15.2334,False,0.184632,0.477242
