epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,3026.6348,1443.8866,0.149863,0.166749,0.894596,37.9985,False
2,887.6232,490.2635,0.803216,0.717074,0.521285,22.1419,False
3,580.6986,453.8069,0.844803,0.738113,0.501529,21.3027,False
4,534.2357,443.7699,0.859733,0.743905,0.495951,21.0658,False
5,496.8507,417.5748,0.878603,0.759022,0.481091,20.4346,False
6,465.1856,401.5751,0.870829,0.768255,0.471784,20.0393,False
7,432.812,352.815,0.887281,0.796394,0.442215,18.7834,False
8,409.5697,343.6625,0.910509,0.801676,0.436442,18.5381,False
9,389.1152,328.9171,0.886466,0.810186,0.426976,18.1361,False
10,365.5209,290.5473,0.897216,0.832328,0.401299,17.0454,False
11,350.51,282.5721,0.903363,0.836931,0.395754,16.8099,False
12,333.931,294.0546,0.91208,0.830304,0.403714,17.148,False
13,322.0922,279.903,0.915396,0.838471,0.39388,16.7303,False
14,312.2103,275.4105,0.918939,0.841064,0.390706,16.5955,False
15,308.3831,251.7706,0.920401,0.854706,0.373562,15.8673,False
16,306.2805,263.2342,0.907418,0.84809,0.381972,16.2245,False
17,304.79,266.4617,0.930405,0.846228,0.384306,16.3237,False
18,299.303,279.4035,0.924736,0.838759,0.393528,16.7154,False
19,299.0,279.4232,0.931044,0.838748,0.393542,16.716,False
20,299.6429,250.8635,0.926261,0.855229,0.372888,15.8387,False
21,296.8954,258.893,0.942799,0.850596,0.378809,16.0902,False
22,296.5276,248.8842,0.922241,0.856372,0.371414,15.7761,False
23,292.2038,253.5453,0.929235,0.853682,0.374876,15.9231,False
24,294.5797,247.7574,0.925122,0.857022,0.370573,15.7403,False
25,296.4293,265.3433,0.9295,0.846873,0.383499,16.2894,False
26,297.7818,310.4643,0.945407,0.820834,0.414826,17.62,False
27,291.0995,260.466,0.934149,0.849688,0.379958,16.139,False
28,289.4463,245.6818,0.933568,0.85822,0.369017,15.6742,False
29,290.1201,245.7615,0.919076,0.858174,0.369077,15.6768,False
30,291.0713,268.1856,0.935042,0.845233,0.385547,16.3764,False
31,290.5858,243.0127,0.914881,0.85976,0.367007,15.5889,False
32,287.8215,246.0004,0.934525,0.858036,0.369256,15.6844,False
33,291.6828,326.9837,0.921655,0.811301,0.425719,18.0827,False
34,291.3038,242.179,0.914869,0.860241,0.366377,15.5621,False
35,287.6671,260.9863,0.932876,0.849388,0.380337,16.1551,False
36,291.7716,264.101,0.937288,0.84759,0.3826,16.2512,False
37,288.6124,313.567,0.926166,0.819044,0.416894,17.7078,False
38,285.8957,237.7007,0.92551,0.862826,0.362974,15.4175,False
39,285.4034,243.6456,0.921153,0.859395,0.367485,15.6092,False
40,285.4859,249.5645,0.927401,0.855979,0.371922,15.7976,False
41,284.0704,305.8394,0.937613,0.823503,0.411725,17.4883,False
42,286.3661,241.8593,0.915281,0.860426,0.366135,15.5518,False
43,284.6573,252.2554,0.95241,0.854426,0.373922,15.8826,False
44,283.2397,270.7108,0.932418,0.843776,0.387358,16.4533,False
45,283.6979,264.1079,0.92417,0.847586,0.382605,16.2514,False
46,282.7403,252.8566,0.94169,0.854079,0.374367,15.9015,False
47,281.9241,316.766,0.94751,0.817198,0.419015,17.7979,False
48,281.6209,248.9201,0.937393,0.856351,0.371441,15.7772,False
49,280.8547,305.5198,0.948819,0.823688,0.411509,17.4791,False
50,280.7547,247.7396,0.949911,0.857032,0.370559,15.7397,False
51,281.4087,247.9543,0.931807,0.856908,0.37072,15.7466,False
52,278.2052,264.2656,0.922525,0.847495,0.382719,16.2562,False
53,281.1516,249.2295,0.925528,0.856172,0.371672,15.787,True
