epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,5954.7274,2640.8134,0.286053,-0.520776,1.219353,51.3888,False
2,2342.7443,1893.3656,0.115256,-0.09034,1.032471,43.5128,False
3,1401.9106,808.7225,0.403118,0.534278,0.674777,28.438,False
4,647.4955,435.1601,0.740807,0.749403,0.494977,20.8605,False
5,500.0935,382.9752,0.814962,0.779454,0.464351,19.5698,False
6,472.1249,371.6591,0.841935,0.785971,0.457439,19.2785,False
7,458.8443,363.4676,0.859606,0.790688,0.45237,19.0648,False
8,447.627,354.2305,0.857357,0.796008,0.446584,18.821,False
9,437.2194,350.391,0.871446,0.798219,0.444158,18.7187,False
10,432.649,344.1879,0.890355,0.801791,0.440208,18.5523,False
11,428.6959,344.4742,0.86272,0.801626,0.440392,18.56,False
12,419.3637,337.7971,0.887031,0.805471,0.436102,18.3793,False
13,419.0522,334.4801,0.887722,0.807382,0.433956,18.2888,False
14,409.8589,334.3731,0.891869,0.807443,0.433887,18.2859,False
15,405.4628,328.9422,0.884363,0.810571,0.430349,18.1368,False
16,396.5945,320.2425,0.890698,0.815581,0.42462,17.8953,False
17,387.655,316.9603,0.893035,0.817471,0.422438,17.8034,False
18,385.5988,315.167,0.890885,0.818503,0.421241,17.7529,False
19,381.0223,308.2582,0.893663,0.822482,0.416599,17.5573,False
20,375.4352,305.2438,0.897435,0.824218,0.414557,17.4712,False
21,369.3173,298.1492,0.907011,0.828304,0.409711,17.267,False
22,364.1296,300.6064,0.895229,0.826889,0.411396,17.338,False
23,359.5366,289.5432,0.892001,0.83326,0.403754,17.016,False
24,351.1744,283.9557,0.895597,0.836477,0.39984,16.851,False
25,346.6123,277.4561,0.894868,0.84022,0.395237,16.657,False
26,336.259,271.0262,0.904705,0.843923,0.390631,16.4629,False
27,333.2695,271.2508,0.906878,0.843794,0.390792,16.4697,False
28,329.1168,262.615,0.897919,0.848767,0.384521,16.2054,False
29,318.7889,254.1891,0.898836,0.853619,0.378302,15.9433,False
30,312.3771,248.291,0.913397,0.857016,0.373888,15.7573,False
31,305.161,249.2025,0.910162,0.856491,0.374573,15.7861,False
32,295.9033,241.5867,0.912741,0.860876,0.368805,15.5431,False
33,288.9657,255.0392,0.905382,0.85313,0.378934,15.9699,False
34,279.5676,229.7973,0.908613,0.867666,0.359694,15.1591,False
35,276.7076,221.903,0.921303,0.872212,0.353462,14.8964,False
36,275.8936,218.8325,0.908794,0.87398,0.351008,14.793,False
37,271.758,214.6342,0.912552,0.876398,0.347624,14.6504,False
38,274.389,216.0143,0.921741,0.875603,0.34874,14.6974,False
39,265.8526,209.0302,0.922562,0.879625,0.343056,14.4579,False
40,260.2291,208.4762,0.926295,0.879944,0.342601,14.4387,False
41,260.3704,213.5079,0.92951,0.877046,0.346711,14.6119,False
42,260.8276,212.4618,0.921698,0.877649,0.345861,14.5761,False
43,254.638,203.0312,0.932504,0.88308,0.338098,14.2489,False
