epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,5422.1676,2053.8815,3e-06,-0.185272,1.066959,45.3198,False
2,1825.7697,1737.8557,2e-06,-0.002897,0.981447,41.6876,False
3,1774.1498,1739.3048,2e-06,-0.003734,0.981857,41.705,False
4,1769.3035,1739.1544,2e-06,-0.003647,0.981814,41.7032,False
5,1776.0553,1739.6551,7e-06,-0.003936,0.981955,41.7092,False
6,1774.0887,1741.0471,2.7e-05,-0.004739,0.982348,41.7259,False
7,1775.7585,1738.1312,0.000157,-0.003056,0.981525,41.6909,False
8,1426.6408,410.6394,0.81375,0.763025,0.477079,20.2642,False
9,399.6924,291.1745,0.874549,0.831966,0.401732,17.0638,False
10,349.502,261.322,0.922715,0.849194,0.380582,16.1655,False
11,321.1755,259.0515,0.890447,0.850504,0.378925,16.0951,False
12,310.001,280.0366,0.923529,0.838394,0.393974,16.7343,False
13,296.1002,296.4415,0.909318,0.828927,0.40535,17.2175,False
14,293.431,230.6642,0.920473,0.866886,0.357561,15.1876,False
15,289.0458,234.9745,0.927187,0.864399,0.360886,15.3289,False
16,286.648,237.3095,0.898862,0.863051,0.362675,15.4049,False
17,281.8909,260.3296,0.942857,0.849767,0.379859,16.1347,False
18,278.7777,242.2892,0.926058,0.860178,0.366461,15.5656,False
19,273.419,241.6625,0.897429,0.860539,0.365986,15.5455,False
20,275.703,231.0739,0.916759,0.86665,0.357879,15.2011,False
21,275.0864,232.5579,0.920445,0.865793,0.359026,15.2498,False
22,271.1074,269.7852,0.95798,0.84431,0.386696,16.4251,False
23,271.9803,231.0075,0.910825,0.866688,0.357827,15.1989,False
24,269.5914,244.9197,0.928925,0.85866,0.368445,15.6499,False
25,266.6222,217.8643,0.922094,0.874273,0.347499,14.7602,False
26,265.4882,245.0021,0.942833,0.858612,0.368506,15.6525,False
27,265.2225,218.5521,0.922332,0.873876,0.348047,14.7835,False
28,263.2582,227.7278,0.947921,0.868581,0.355278,15.0907,False
29,259.5359,226.9554,0.929659,0.869027,0.354675,15.065,False
30,260.1399,238.1371,0.94281,0.862574,0.363307,15.4317,False
31,259.1768,274.6561,0.909134,0.841499,0.390171,16.5728,False
32,261.2112,228.326,0.940729,0.868236,0.355744,15.1105,False
33,253.8356,239.247,0.913143,0.861933,0.364153,15.4676,False
34,255.747,240.1826,0.941951,0.861393,0.364864,15.4978,False
35,254.4312,240.0464,0.939388,0.861472,0.36476,15.4934,False
36,253.9761,232.0088,0.938172,0.86611,0.358602,15.2318,False
37,253.3627,235.4574,0.929406,0.86412,0.361257,15.3446,False
38,249.4239,263.6376,0.952025,0.847858,0.382264,16.2369,False
39,252.185,243.8222,0.94484,0.859293,0.367618,15.6148,False
40,249.1348,224.5135,0.942195,0.870436,0.352762,14.9838,True
