epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,5646.2447,2538.0903,0.262748,-0.46162,1.195402,50.3795,False
2,2318.1344,1891.5546,0.117189,-0.089297,1.031977,43.492,False
3,1424.3409,811.8003,0.402567,0.532505,0.67606,28.4921,False
4,636.0219,419.3906,0.770958,0.758484,0.485926,20.479,False
5,480.7266,377.3909,0.844087,0.78267,0.460953,19.4266,False
6,453.6997,362.5937,0.873744,0.791192,0.451826,19.0419,False
7,441.1054,361.6094,0.879793,0.791759,0.451212,19.016,False
8,433.8412,357.2316,0.865823,0.79428,0.448472,18.9006,False
9,429.6708,360.2275,0.873223,0.792554,0.450349,18.9797,False
10,420.8576,345.9905,0.895463,0.800753,0.44136,18.6008,False
11,416.3091,355.8721,0.893574,0.795062,0.447618,18.8646,False
12,416.9046,338.3476,0.892682,0.805154,0.436458,18.3942,False
13,407.0529,332.4229,0.892385,0.808566,0.43262,18.2325,False
14,400.6336,329.478,0.904737,0.810262,0.430699,18.1515,False
15,396.6924,324.6679,0.888923,0.813032,0.427543,18.0185,False
16,390.6177,322.0146,0.901589,0.81456,0.425793,17.9448,False
17,384.7935,319.2333,0.912895,0.816162,0.42395,17.8671,False
18,380.5898,313.5834,0.907859,0.819415,0.420182,17.7083,False
19,376.9621,311.5567,0.901753,0.820583,0.418822,17.651,False
20,369.53,299.7113,0.907523,0.827404,0.410783,17.3122,False
21,361.8813,298.5409,0.905969,0.828078,0.40998,17.2783,False
22,357.6074,289.7942,0.904493,0.833115,0.403929,17.0233,False
23,353.5777,285.4551,0.903394,0.835614,0.400894,16.8954,False
24,344.6683,284.3944,0.901497,0.836225,0.400148,16.864,False
25,339.8772,282.4281,0.89632,0.837357,0.398763,16.8056,False
26,335.0205,279.4969,0.903024,0.839045,0.396688,16.7182,False
27,328.8799,269.4131,0.904374,0.844852,0.389466,16.4138,False
28,323.283,258.4004,0.902879,0.851194,0.381423,16.0748,False
29,317.4259,254.2387,0.905752,0.85359,0.378339,15.9449,False
30,307.1436,257.7282,0.922581,0.851581,0.380927,16.0539,False
31,304.2636,240.339,0.907682,0.861595,0.367852,15.5029,False
32,292.651,233.9099,0.920373,0.865297,0.362898,15.2941,False
33,285.2617,225.009,0.907308,0.870423,0.355927,15.0003,False
34,282.8684,215.6939,0.931744,0.875787,0.348481,14.6865,False
35,271.6437,227.9868,0.917288,0.868708,0.358274,15.0992,False
36,266.6836,219.3999,0.929062,0.873653,0.351462,14.8122,False
37,263.2654,200.2083,0.92754,0.884705,0.335739,14.1495,False
38,258.6346,195.1881,0.930945,0.887596,0.331503,13.971,False
39,250.4974,213.5528,0.945359,0.87702,0.346747,14.6134,False
40,243.7283,198.8516,0.937149,0.885487,0.334599,14.1015,False
41,247.9977,194.0891,0.93562,0.888229,0.330568,13.9316,False
42,243.728,193.0494,0.941,0.888828,0.329682,13.8942,False
43,236.9345,185.7187,0.933649,0.893049,0.323362,13.6279,False
44,242.615,184.043,0.941221,0.894014,0.321899,13.5662,False
45,237.8373,194.5299,0.942757,0.887975,0.330943,13.9474,False
46,238.962,187.5173,0.943988,0.892014,0.324924,13.6937,False
47,234.6263,189.2849,0.948428,0.890996,0.326451,13.7581,False
48,229.1299,191.1119,0.965161,0.889944,0.328023,13.8243,False
49,230.6469,181.6223,0.958084,0.895408,0.319775,13.4767,False
50,233.993,179.3469,0.948379,0.896719,0.317766,13.392,False
51,232.9768,207.4275,0.944867,0.880548,0.341738,14.4023,False
52,232.7422,183.881,0.959377,0.894108,0.321758,13.5603,False
53,232.3111,185.152,0.944696,0.893376,0.322868,13.6071,False
54,225.9677,188.6459,0.932048,0.891364,0.3259,13.7348,False
55,230.5451,185.1067,0.945807,0.893402,0.322828,13.6054,False
56,228.1783,179.9297,0.951888,0.896383,0.318282,13.4138,False
57,231.0788,177.9716,0.954947,0.897511,0.316545,13.3406,False
58,226.3341,182.3631,0.946454,0.894982,0.320427,13.5042,False
59,226.5219,199.4714,0.948267,0.88513,0.33512,14.1234,False
60,223.7397,179.7573,0.943334,0.896482,0.318129,13.4074,False
61,225.5254,183.4596,0.955277,0.89435,0.321389,13.5447,False
62,220.1047,175.0023,0.959289,0.899221,0.313894,13.2288,False
63,223.2937,189.4195,0.931805,0.890918,0.326568,13.763,False
64,222.6374,179.1123,0.965283,0.896854,0.317558,13.3833,False
65,221.8464,175.3767,0.94446,0.899005,0.314229,13.243,False
66,222.3609,182.6372,0.947516,0.894824,0.320668,13.5143,False
67,219.5763,177.5719,0.960019,0.897741,0.31619,13.3256,False
68,222.461,174.412,0.94647,0.899561,0.313364,13.2065,False
69,219.8716,178.9515,0.968119,0.896946,0.317416,13.3773,False
70,221.2036,182.068,0.935216,0.895152,0.320168,13.4933,False
71,219.8109,172.4349,0.943703,0.900699,0.311583,13.1314,False
72,221.4602,173.319,0.967212,0.90019,0.31238,13.1651,False
73,216.9923,180.8025,0.947131,0.895881,0.319053,13.4463,False
74,215.349,176.8339,0.95124,0.898166,0.315532,13.2979,False
75,217.1968,173.6364,0.952356,0.900007,0.312666,13.1771,False
76,216.08,176.7993,0.968588,0.898186,0.315501,13.2966,False
77,218.6162,179.8171,0.933568,0.896448,0.318182,13.4096,False
78,220.4465,175.5486,0.941981,0.898906,0.314383,13.2495,False
79,213.5429,171.8549,0.962668,0.901033,0.311058,13.1093,False
80,212.6016,172.3001,0.945715,0.900777,0.311461,13.1263,False
81,213.464,172.548,0.954059,0.900634,0.311685,13.1358,False
82,211.6214,169.8056,0.964519,0.902213,0.309198,13.031,False
83,210.3152,172.1859,0.959842,0.900843,0.311358,13.122,False
84,211.6328,188.9364,0.941459,0.891196,0.326151,13.7454,False
85,212.6846,202.7265,0.959581,0.883255,0.337844,14.2382,False
86,218.5344,175.2454,0.965546,0.899081,0.314112,13.238,False
87,209.5623,172.4942,0.953093,0.900665,0.311636,13.1337,False
88,209.1758,193.519,0.957693,0.888557,0.330082,13.9111,False
89,209.0897,178.3346,0.947493,0.897302,0.316868,13.3542,False
90,204.7015,200.4456,0.950017,0.884569,0.335938,14.1579,False
91,205.7332,215.3398,0.944296,0.875991,0.348195,14.6745,False
92,204.578,170.1062,0.946573,0.90204,0.309472,13.0425,False
93,203.3646,221.1563,0.942543,0.872642,0.352866,14.8713,False
94,201.8508,177.0438,0.950601,0.898045,0.315719,13.3058,False
95,198.5389,217.456,0.948507,0.874773,0.349902,14.7464,False
96,198.8921,185.3468,0.950734,0.893264,0.323038,13.6142,False
97,197.3337,213.0053,0.93943,0.877336,0.346303,14.5947,True
