epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,6284.8714,2313.474,2e-06,-0.334775,1.146149,48.0986,False
2,1826.4614,1734.1515,2e-06,-0.00053,0.992321,41.6431,False
3,1743.8126,1735.3241,2e-06,-0.001207,0.992657,41.6572,False
4,1749.1098,1734.3784,1e-06,-0.000661,0.992386,41.6459,False
5,1742.7124,1733.948,1e-06,-0.000413,0.992263,41.6407,False
6,1748.9644,1734.1884,1e-06,-0.000552,0.992332,41.6436,False
7,1747.0905,1734.4588,1e-06,-0.000708,0.992409,41.6468,False
8,1748.0045,1733.7845,1e-06,-0.000319,0.992216,41.6387,False
9,1747.8741,1734.7846,1e-06,-0.000896,0.992503,41.6507,False
10,1754.0133,1734.4638,2e-06,-0.000711,0.992411,41.6469,False
11,1745.0128,1733.2581,1e-05,-1.5e-05,0.992066,41.6324,False
12,1751.2285,1734.7101,6.8e-05,-0.000853,0.992481,41.6499,False
13,1122.2108,442.7468,0.84575,0.744554,0.501403,21.0415,False
14,373.8513,394.3441,0.900514,0.772481,0.473202,19.8581,False
15,332.8543,369.1031,0.895398,0.787043,0.457807,19.2121,False
16,321.2034,359.7587,0.920101,0.792435,0.451975,18.9673,False
17,317.4819,356.326,0.902331,0.794415,0.449814,18.8766,False
18,304.4084,333.9334,0.921739,0.807335,0.43545,18.2738,False
19,300.4935,360.1116,0.902093,0.792231,0.452197,18.9766,False
20,291.6561,378.7861,0.913199,0.781457,0.463773,19.4624,False
21,293.2767,340.6157,0.973242,0.803479,0.439786,18.4558,False
22,289.1667,323.6176,0.910153,0.813287,0.428672,17.9894,False
23,282.6236,347.8795,0.942324,0.799289,0.44445,18.6515,False
24,283.6995,326.7053,0.948055,0.811505,0.430712,18.075,False
25,279.988,345.4991,0.959689,0.800662,0.442927,18.5876,False
26,274.7274,327.8071,0.96268,0.810869,0.431438,18.1054,False
27,269.44,315.2827,0.927389,0.818096,0.423115,17.7562,False
28,265.4564,319.1511,0.942221,0.815864,0.425703,17.8648,False
29,260.5496,312.3691,0.92501,0.819777,0.421156,17.674,False
30,249.8337,317.9169,0.939022,0.816576,0.424879,17.8302,False
31,242.4792,319.6865,0.920885,0.815555,0.42606,17.8798,False
32,242.5214,304.3595,0.921243,0.824398,0.415721,17.4459,False
33,237.1735,333.9653,0.945687,0.807316,0.435471,18.2747,False
34,232.1908,292.8432,0.912583,0.831042,0.40778,17.1127,False
35,232.0573,289.8443,0.920545,0.832772,0.405687,17.0248,False
36,230.2071,290.065,0.940448,0.832645,0.405842,17.0313,False
37,225.4043,296.3495,0.956755,0.829019,0.410214,17.2148,False
38,225.6292,299.4328,0.941736,0.82724,0.412343,17.3041,False
39,224.5339,296.701,0.922669,0.828816,0.410458,17.225,False
40,222.0574,314.1069,0.937573,0.818774,0.422326,17.7231,False
41,220.0655,291.3977,0.924244,0.831876,0.406773,17.0704,False
42,219.7355,330.2555,0.911794,0.809457,0.433046,18.1729,False
43,217.5862,298.2061,0.923933,0.827948,0.411497,17.2686,False
44,217.6727,319.5696,0.953149,0.815622,0.425982,17.8765,False
45,215.3488,308.1069,0.959937,0.822236,0.418273,17.553,False
46,215.9642,296.9697,0.929378,0.828661,0.410643,17.2328,False
47,214.0365,285.1626,0.945215,0.835474,0.402397,16.8868,False
48,211.5825,312.341,0.980104,0.819793,0.421137,17.6732,False
49,209.9472,299.9064,0.955925,0.826967,0.412669,17.3178,False
50,210.2411,300.9043,0.927542,0.826391,0.413355,17.3466,False
51,208.442,288.576,0.932385,0.833504,0.404799,16.9875,False
52,206.3052,299.5274,0.897308,0.827186,0.412408,17.3069,False
53,208.3191,301.8346,0.936629,0.825854,0.413993,17.3734,False
