epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,6271.4911,2300.02,2e-06,-0.327012,1.142812,47.9585,False
2,1830.4787,1734.2257,2e-06,-0.000573,0.992343,41.644,False
3,1744.7589,1733.762,2e-06,-0.000306,0.99221,41.6385,False
4,1749.6638,1734.5729,1e-06,-0.000774,0.992442,41.6482,False
5,1743.5079,1735.1596,1e-06,-0.001112,0.99261,41.6552,False
6,1744.9483,1733.5642,1e-06,-0.000192,0.992153,41.6361,False
7,1745.3432,1733.4691,1e-06,-0.000137,0.992126,41.635,False
8,1746.8922,1734.0186,1e-06,-0.000454,0.992283,41.6415,False
9,1744.7277,1733.5743,1e-06,-0.000198,0.992156,41.6362,False
10,1751.1113,1734.2559,1e-06,-0.000591,0.992351,41.6444,False
11,1748.9465,1734.1542,1e-06,-0.000532,0.992322,41.6432,False
12,1749.2094,1733.2436,1e-06,-7e-06,0.992062,41.6322,False
13,1743.9904,1734.5187,1e-06,-0.000742,0.992426,41.6476,False
14,1747.9728,1734.4937,1e-06,-0.000728,0.992419,41.6473,False
15,1747.6597,1738.3774,1e-06,-0.002969,0.99353,41.6939,False
16,1749.8137,1733.464,1e-06,-0.000134,0.992125,41.6349,False
17,1748.2915,1733.4334,1e-06,-0.000116,0.992116,41.6345,False
18,1747.9339,1734.3298,3e-06,-0.000633,0.992372,41.6453,False
19,1744.9504,1733.1563,3.4e-05,4.4e-05,0.992037,41.6312,False
20,1060.1127,480.8697,0.8367,0.722559,0.522544,21.9287,False
21,432.1031,475.7449,0.847343,0.725516,0.519752,21.8116,False
22,405.293,413.6599,0.901478,0.761336,0.484653,20.3386,False
23,373.4524,408.3589,0.84323,0.764395,0.481537,20.2079,False
24,335.3933,386.3952,0.888138,0.777067,0.468408,19.6569,False
25,325.7359,393.1016,0.903787,0.773197,0.472456,19.8268,False
26,321.8199,336.7748,0.916609,0.805696,0.437299,18.3514,False
27,310.3791,336.2124,0.91384,0.80602,0.436934,18.3361,False
28,311.064,345.4488,0.93601,0.800691,0.442895,18.5863,False
29,306.0988,341.337,0.948351,0.803063,0.440251,18.4753,False
30,303.6708,340.1342,0.916351,0.803757,0.439475,18.4427,False
31,296.932,387.994,0.962635,0.776144,0.469376,19.6976,False
32,295.1738,322.228,0.890538,0.814088,0.42775,17.9507,False
33,297.7103,342.7507,0.895352,0.802248,0.441162,18.5135,False
34,295.1466,328.1081,0.920539,0.810696,0.431636,18.1138,False
35,290.1593,369.5095,0.947574,0.786809,0.458059,19.2226,False
36,291.5853,333.5312,0.914895,0.807567,0.435188,18.2628,False
37,290.2454,331.9648,0.938548,0.808471,0.434165,18.2199,False
38,286.0476,336.5625,0.936524,0.805818,0.437161,18.3456,False
39,283.466,352.9574,0.870651,0.796359,0.447682,18.7872,False
40,283.693,320.8127,0.868877,0.814905,0.42681,17.9112,False
41,283.0873,322.0392,0.950336,0.814197,0.427625,17.9455,False
42,278.8107,354.0642,0.899757,0.79572,0.448384,18.8166,False
43,280.8112,342.3888,0.946264,0.802456,0.440929,18.5038,False
44,276.9402,344.5456,0.911618,0.801212,0.442316,18.5619,False
45,277.2245,323.0061,0.962555,0.813639,0.428267,17.9724,False
46,272.1708,312.5004,0.932849,0.819701,0.421244,17.6777,False
47,269.304,318.0621,0.927054,0.816492,0.424976,17.8343,False
48,267.3462,328.6126,0.935204,0.810405,0.431967,18.1277,False
49,266.5399,307.2904,0.903083,0.822707,0.417718,17.5297,False
50,263.9995,354.612,0.93237,0.795404,0.44873,18.8311,False
51,263.5292,317.1963,0.920411,0.816991,0.424398,17.81,False
52,265.5771,330.4786,0.943295,0.809328,0.433192,18.1791,False
53,258.1021,349.4116,0.898547,0.798405,0.445428,18.6926,False
54,256.3583,304.6469,0.914011,0.824232,0.415917,17.4541,False
55,254.9028,312.3215,0.934523,0.819804,0.421124,17.6726,False
56,252.467,310.6623,0.929078,0.820761,0.420004,17.6256,False
57,250.4317,316.6895,0.944842,0.817284,0.424058,17.7958,False
58,249.3953,311.3972,0.923364,0.820337,0.4205,17.6465,False
59,246.9549,338.7698,0.902295,0.804544,0.438592,18.4057,False
60,244.3712,300.3863,0.92113,0.82669,0.412999,17.3317,False
61,241.7835,318.6769,0.930215,0.816137,0.425387,17.8515,False
62,241.323,297.8943,0.942948,0.828128,0.411282,17.2596,False
63,236.6264,304.5189,0.919052,0.824306,0.41583,17.4505,False
64,234.4649,302.4663,0.937007,0.82549,0.414426,17.3916,False
65,231.1544,303.8841,0.928557,0.824672,0.415396,17.4323,False
66,229.1659,307.3127,0.917439,0.822694,0.417733,17.5303,False
67,228.6799,307.6792,0.963662,0.822482,0.417982,17.5408,False
68,226.1387,324.8571,0.955906,0.812571,0.429492,18.0238,False
69,221.7256,319.2284,0.943409,0.815819,0.425755,17.867,False
70,218.9495,298.7218,0.934628,0.82765,0.411853,17.2836,False
71,219.687,302.4433,0.935287,0.825503,0.414411,17.3909,False
72,218.5625,300.11,0.944694,0.826849,0.412809,17.3237,False
73,214.0171,301.5466,0.931621,0.826021,0.413796,17.3651,False
74,212.8875,287.8003,0.936469,0.833952,0.404254,16.9647,False
75,211.9136,296.5278,0.9407,0.828916,0.410338,17.22,False
76,211.516,297.8231,0.943049,0.828169,0.411233,17.2576,False
77,211.1518,281.6802,0.933849,0.837483,0.399933,16.7833,False
78,208.9613,300.9324,0.951467,0.826375,0.413374,17.3474,False
79,207.284,305.5095,0.975387,0.823734,0.416506,17.4788,False
80,203.8145,287.2292,0.949329,0.834281,0.403853,16.9478,False
81,203.9544,290.7446,0.942607,0.832253,0.406317,17.0512,False
82,204.4138,288.5505,0.943785,0.833519,0.404781,16.9868,False
83,202.1545,287.269,0.9217,0.834258,0.403881,16.949,False
84,202.1825,283.0847,0.942185,0.836672,0.400929,16.8251,False
85,200.6218,283.7585,0.939593,0.836284,0.401405,16.8451,False
86,199.8708,296.2022,0.95268,0.829104,0.410112,17.2105,False
87,197.5311,293.2681,0.940452,0.830797,0.408076,17.1251,False
88,199.5566,312.8285,0.905383,0.819511,0.421465,17.687,False
89,198.0065,307.5461,0.943164,0.822559,0.417892,17.537,False
90,198.9914,304.5391,0.9669,0.824294,0.415844,17.451,False
