epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,5519.5474,2107.9318,0.110645,-0.209113,1.084867,45.9122,False
2,1846.0073,1396.3618,0.139827,0.199044,0.882973,37.3679,False
3,1100.9874,647.9892,0.588571,0.628312,0.601495,25.4556,False
4,726.7783,507.4971,0.752474,0.708899,0.532311,22.5277,False
5,629.8753,450.8997,0.783881,0.741363,0.501751,21.2344,False
6,585.0763,418.7378,0.819933,0.759811,0.483526,20.4631,False
7,560.7988,393.3868,0.840484,0.774353,0.46866,19.834,False
8,539.2087,375.0851,0.841194,0.784851,0.457629,19.3671,False
9,520.6377,357.0613,0.858231,0.795189,0.446498,18.8961,False
10,504.3723,350.2437,0.867478,0.7991,0.442215,18.7148,False
11,493.0879,331.4994,0.874994,0.809851,0.430219,18.2071,False
12,480.0602,320.8834,0.866281,0.815941,0.423274,17.9132,False
13,462.5162,307.4358,0.885074,0.823654,0.41431,17.5338,False
14,451.682,300.1463,0.884513,0.827836,0.409369,17.3247,False
15,442.2333,288.5449,0.88067,0.83449,0.401379,16.9866,False
16,430.4887,277.5595,0.888477,0.840791,0.393665,16.6601,False
17,420.7255,267.9198,0.892609,0.846321,0.386768,16.3683,False
18,406.886,266.6609,0.877504,0.847043,0.385858,16.3298,False
19,394.1254,248.9619,0.916769,0.857195,0.372833,15.7785,False
20,385.0961,241.5129,0.895807,0.861468,0.367213,15.5407,False
21,374.1034,240.109,0.896131,0.862273,0.366145,15.4955,False
22,358.3913,225.9788,0.900772,0.870378,0.355208,15.0326,False
23,345.7379,213.8331,0.90801,0.877345,0.34553,14.623,False
24,341.1138,207.4681,0.912094,0.880996,0.340349,14.4038,False
25,323.0659,197.8412,0.918413,0.886518,0.332358,14.0656,False
26,314.4529,203.0872,0.901601,0.883509,0.336736,14.2509,False
27,302.7836,194.3645,0.906445,0.888512,0.329425,13.9415,False
28,297.8865,187.4906,0.93025,0.892455,0.323548,13.6927,False
29,288.2493,179.2524,0.916626,0.897181,0.316359,13.3885,False
30,285.4528,181.68,0.903175,0.895788,0.318494,13.4789,False
31,275.7882,172.4185,0.929079,0.9011,0.31027,13.1308,False
32,273.559,198.005,0.909477,0.886424,0.332496,14.0714,False
33,274.7907,173.5666,0.935666,0.900442,0.311302,13.1745,False
34,270.2118,169.5613,0.927316,0.902739,0.307689,13.0216,False
35,263.3495,167.7834,0.938923,0.903759,0.306071,12.9531,False
36,261.7837,175.6051,0.93927,0.899273,0.313124,13.2516,False
37,259.2011,173.2498,0.936719,0.900624,0.311017,13.1624,False
38,256.5759,168.5244,0.939946,0.903334,0.306747,12.9817,False
39,257.1981,168.8287,0.940784,0.90316,0.307023,12.9934,False
40,256.3908,169.5353,0.933289,0.902754,0.307665,13.0206,False
41,255.4654,172.2844,0.947685,0.901177,0.31015,13.1257,False
42,253.8037,179.0654,0.960727,0.897288,0.316194,13.3815,False
43,256.1618,173.4328,0.93851,0.900519,0.311182,13.1694,False
44,255.6644,190.4941,0.923213,0.890732,0.326129,13.802,False
45,254.4894,174.5795,0.923986,0.899861,0.312209,13.2129,False
46,252.3822,168.919,0.942574,0.903108,0.307106,12.9969,False
47,252.5292,180.2792,0.920693,0.896592,0.317264,13.4268,False
48,251.8732,173.0887,0.934293,0.900716,0.310873,13.1563,False
49,247.3302,176.4138,0.931603,0.898809,0.313845,13.2821,False
50,256.6515,168.3872,0.940786,0.903413,0.306622,12.9764,True
