epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,7593.4239,6243.0728,5e-06,-2.581037,1.867014,79.0131,False
2,4860.4004,3257.7556,2e-06,-0.868654,1.348676,57.0768,False
3,2456.6202,1860.6236,1e-06,-0.067257,1.019243,43.1349,False
4,1810.197,1743.5641,1e-06,-0.000111,0.986659,41.756,False
5,1770.1536,1743.7018,1e-06,-0.00019,0.986698,41.7577,False
6,1778.1185,1743.6549,1e-06,-0.000163,0.986685,41.7571,False
7,1773.3513,1743.824,1e-06,-0.000261,0.986733,41.7591,False
8,1769.6647,1743.9725,1e-06,-0.000346,0.986775,41.7609,False
9,1772.0078,1743.4402,1e-06,-4e-05,0.986624,41.7545,False
10,1769.9844,1744.0157,1e-06,-0.00037,0.986787,41.7614,False
11,1771.0693,1743.7065,1e-06,-0.000193,0.9867,41.7577,False
12,1769.0733,1743.6918,1e-06,-0.000185,0.986696,41.7575,False
13,1770.7945,1744.3459,1e-06,-0.00056,0.986881,41.7654,False
14,1775.0525,1743.5698,1e-06,-0.000115,0.986661,41.7561,False
15,1775.5171,1743.5392,1e-06,-9.7e-05,0.986652,41.7557,False
16,1770.2809,1743.5697,1e-06,-0.000115,0.986661,41.7561,False
17,1778.7955,1743.5298,1e-06,-9.2e-05,0.98665,41.7556,False
18,1773.8368,1743.3769,1e-06,-4e-06,0.986606,41.7538,False
19,1777.1098,1744.1376,1e-06,-0.00044,0.986822,41.7629,False
20,1778.9806,1743.3851,1e-06,-9e-06,0.986609,41.7539,False
21,1773.4355,1743.4441,1e-06,-4.3e-05,0.986625,41.7546,False
22,1769.8049,1743.5461,1e-06,-0.000101,0.986654,41.7558,False
23,1771.9187,1743.7398,1e-06,-0.000212,0.986709,41.7581,False
24,1771.5144,1744.5231,2e-06,-0.000661,0.986931,41.7675,False
25,1772.4395,1744.4981,2e-06,-0.000647,0.986924,41.7672,False
26,1772.3176,1743.7531,3e-06,-0.00022,0.986713,41.7583,False
27,1779.8454,1744.4238,4e-06,-0.000605,0.986903,41.7663,False
28,1770.5312,1743.449,7e-06,-4.5e-05,0.986627,41.7546,False
29,1774.4046,1743.636,1.2e-05,-0.000153,0.98668,41.7569,False
30,1773.7013,1743.4588,3.3e-05,-5.1e-05,0.98663,41.7547,False
31,1770.1517,1743.5656,7.9e-05,-0.000112,0.98666,41.756,False
32,1770.5738,1733.7854,0.003265,0.005498,0.983889,41.6387,False
33,1274.3478,432.4119,0.830783,0.751968,0.491357,20.7945,False
34,453.2697,256.364,0.849584,0.852949,0.378335,16.0114,False
35,322.6611,178.3313,0.896812,0.897709,0.315546,13.3541,False
36,268.0066,159.8867,0.93528,0.908289,0.298782,12.6446,False
37,256.9174,184.2252,0.893821,0.894328,0.320718,13.573,False
38,238.9648,175.7792,0.917588,0.899173,0.31328,13.2582,False
39,232.8884,154.5372,0.952376,0.911357,0.293741,12.4313,False
40,227.0006,160.6394,0.964417,0.907857,0.299485,12.6744,False
41,226.0909,168.1261,0.939702,0.903563,0.306384,12.9663,False
42,222.2632,156.5374,0.945153,0.91021,0.295636,12.5115,False
43,220.8263,151.4009,0.958025,0.913156,0.290745,12.3045,False
44,226.739,143.066,0.964855,0.917937,0.282629,11.961,False
45,222.3019,147.4901,0.93812,0.915399,0.286966,12.1445,False
46,217.3751,144.6074,0.934045,0.917053,0.284147,12.0253,False
47,212.6849,145.9071,0.959262,0.916307,0.285421,12.0792,False
48,212.5852,145.756,0.976413,0.916394,0.285274,12.0729,False
49,215.5134,137.4772,0.954342,0.921143,0.277053,11.7251,False
50,217.6223,144.0202,0.934049,0.91739,0.28357,12.0008,False
51,211.0767,155.7372,0.954008,0.910669,0.294879,12.4795,False
52,212.7502,147.4485,0.958166,0.915423,0.286925,12.1428,False
53,209.0564,145.878,0.961328,0.916324,0.285393,12.078,False
54,208.3125,151.0894,0.924627,0.913335,0.290446,12.2918,False
55,205.8324,140.8588,0.925997,0.919203,0.28044,11.8684,False
56,204.2544,140.5566,0.962229,0.919376,0.280139,11.8557,False
57,207.069,152.468,0.942164,0.912544,0.291768,12.3478,False
58,209.3703,155.4294,0.951978,0.910845,0.294588,12.4671,False
59,211.8728,144.9931,0.929747,0.916832,0.284526,12.0413,False
60,204.7222,141.6095,0.951155,0.918773,0.281187,11.9,False
61,206.0812,165.3458,0.934022,0.905157,0.30384,12.8587,False
62,206.4347,138.3541,0.950558,0.92064,0.277936,11.7624,False
63,203.4525,142.3561,0.952349,0.918344,0.281927,11.9313,False
64,206.659,165.1146,0.946132,0.90529,0.303627,12.8497,True
