epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,7624.7606,6331.3583,5e-06,-2.631678,1.880168,79.5698,False
2,5028.3441,3472.1703,1e-06,-0.991643,1.392351,58.9251,False
3,2619.3693,1937.3752,1e-06,-0.111282,1.040052,44.0156,False
4,1833.5632,1744.3267,1e-06,-0.000549,0.986875,41.7651,False
5,1773.6121,1743.7862,1e-06,-0.000239,0.986722,41.7587,False
6,1765.4414,1743.9586,1e-06,-0.000338,0.986771,41.7607,False
7,1773.1039,1743.7506,1e-06,-0.000218,0.986712,41.7582,False
8,1776.2188,1743.4378,1e-06,-3.9e-05,0.986624,41.7545,False
9,1777.0994,1743.5647,1e-06,-0.000112,0.98666,41.756,False
10,1773.1815,1743.8515,1e-06,-0.000276,0.986741,41.7594,False
11,1773.4226,1743.7929,1e-06,-0.000243,0.986724,41.7587,False
12,1770.8218,1744.009,1e-06,-0.000367,0.986785,41.7613,False
13,1770.6096,1744.2232,1e-06,-0.000489,0.986846,41.7639,False
14,1775.4764,1743.4101,1e-06,-2.3e-05,0.986616,41.7542,False
15,1777.0597,1743.6591,3e-06,-0.000166,0.986686,41.7571,False
16,1767.5897,1744.4879,6e-06,-0.000641,0.986921,41.7671,False
17,1761.3584,1743.5207,9e-06,-8.7e-05,0.986647,41.7555,False
18,1775.8891,1743.6648,1.3e-05,-0.000169,0.986688,41.7572,False
19,1774.8708,1743.2938,2.8e-05,4.4e-05,0.986583,41.7528,False
20,1772.6604,1743.3844,7.1e-05,-8e-06,0.986609,41.7539,False
21,1772.3796,1740.6352,0.000887,0.001569,0.98583,41.7209,False
22,1752.5896,1625.6092,0.042935,0.067548,0.9527,40.3188,False
23,920.7844,376.2682,0.772824,0.784172,0.45835,19.3976,False
24,350.5641,198.9759,0.917301,0.885867,0.33331,14.1059,False
25,270.4621,198.3254,0.889806,0.88624,0.332765,14.0828,False
26,258.0693,171.2597,0.943649,0.901765,0.309226,13.0866,False
27,239.2327,200.9042,0.932258,0.884761,0.334921,14.1741,False
28,237.6757,167.589,0.94852,0.903871,0.305894,12.9456,False
29,236.9805,154.5977,0.922366,0.911322,0.293799,12.4337,False
30,224.8823,167.8345,0.929164,0.90373,0.306118,12.9551,False
31,229.6598,149.9585,0.938981,0.913984,0.289357,12.2458,False
32,220.8308,185.3526,0.918436,0.893681,0.321697,13.6144,False
33,225.2994,148.5079,0.952608,0.914816,0.287954,12.1864,False
34,219.9986,151.6551,0.95569,0.91301,0.290989,12.3148,False
35,227.6025,171.6522,0.895235,0.90154,0.30958,13.1016,False
36,219.3807,156.6981,0.935908,0.910118,0.295788,12.5179,False
37,219.169,142.6913,0.953482,0.918152,0.282259,11.9453,False
38,214.5262,152.1702,0.905729,0.912715,0.291483,12.3357,False
39,217.3115,163.4917,0.941032,0.906221,0.302132,12.7864,False
40,211.5326,145.8249,0.96325,0.916355,0.285341,12.0758,False
41,214.781,147.5579,0.949627,0.915361,0.287032,12.1473,False
42,214.1798,146.6278,0.954079,0.915894,0.286125,12.109,False
43,208.979,141.9923,0.954399,0.918553,0.281566,11.9161,False
44,218.3724,148.8916,0.945819,0.914596,0.288326,12.2021,False
45,222.6954,154.0465,0.969616,0.911639,0.293274,12.4115,False
46,208.5565,149.8955,0.926434,0.91402,0.289296,12.2432,False
47,207.2862,152.1449,0.930783,0.912729,0.291459,12.3347,False
48,209.2114,149.2213,0.95325,0.914406,0.288645,12.2156,False
49,210.564,147.7575,0.929398,0.915246,0.287226,12.1556,False
50,208.2372,146.7676,0.948606,0.915814,0.286262,12.1148,False
51,203.3285,152.6947,0.943782,0.912414,0.291985,12.357,False
52,211.4621,155.3578,0.945223,0.910886,0.29452,12.4643,False
53,208.4671,143.6327,0.952519,0.917612,0.283188,11.9847,False
54,206.8338,153.2357,0.946244,0.912104,0.292502,12.3788,False
55,201.9622,150.6189,0.947771,0.913605,0.289993,12.2727,False
56,205.7871,156.0831,0.959153,0.91047,0.295207,12.4933,False
57,203.9684,146.5148,0.926438,0.915959,0.286015,12.1043,False
58,200.1554,147.6035,0.960566,0.915334,0.287076,12.1492,True
