epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,stopped
1,2855.4139,530.93,0.806591,0.693606,0.542474,23.0419,False
2,619.3303,457.3745,0.849047,0.736054,0.503496,21.3863,False
3,557.8766,448.9947,0.879125,0.74089,0.498862,21.1895,False
4,506.2143,398.0765,0.865212,0.770274,0.469725,19.9519,False
5,449.3559,354.6966,0.914802,0.795308,0.443393,18.8334,False
6,395.2759,311.2951,0.920269,0.820355,0.415381,17.6436,False
7,358.8894,299.6029,0.912068,0.827102,0.407505,17.309,False
8,343.7644,285.7087,0.918099,0.835121,0.397944,16.9029,False
9,337.1625,271.0805,0.933716,0.843562,0.387623,16.4645,False
10,328.6113,263.5163,0.901179,0.847928,0.382176,16.2332,False
11,323.9686,267.2528,0.932197,0.845771,0.384876,16.3479,False
12,321.1815,259.6232,0.905008,0.850174,0.379343,16.1128,False
13,317.6981,252.4133,0.910103,0.854335,0.374039,15.8875,False
14,318.5016,245.4357,0.910755,0.858362,0.368832,15.6664,False
15,311.1522,252.9361,0.88152,0.854033,0.374426,15.904,False
16,308.9834,250.2143,0.89886,0.855604,0.372406,15.8182,False
17,304.7745,267.477,0.866,0.845642,0.385038,16.3547,False
18,301.9509,266.2139,0.882546,0.846371,0.384128,16.3161,False
19,296.6419,249.8826,0.879703,0.855795,0.372159,15.8077,False
20,290.3513,275.1069,0.83761,0.841239,0.390491,16.5863,False
21,290.3243,309.598,0.825455,0.821334,0.414247,17.5954,False
22,287.8268,277.7005,0.848324,0.839742,0.392327,16.6643,False
23,284.7158,247.6425,0.873817,0.857088,0.370487,15.7367,False
24,282.7508,306.9899,0.816713,0.822839,0.412498,17.5211,False
25,280.8372,289.3927,0.842047,0.832995,0.400501,17.0115,False
26,277.9734,290.6864,0.829833,0.832248,0.401396,17.0495,False
27,273.5142,328.6201,0.80869,0.810357,0.426783,18.1279,False
28,270.5453,312.4625,0.826881,0.819681,0.416159,17.6766,False
29,273.6337,272.2284,0.83346,0.8429,0.388443,16.4993,True
