epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,24214.9307,17206.9801,2e-06,-1.616453,1.567409,131.1754,True,False
2,18528.7421,10790.423,1e-06,-0.640766,1.241222,103.877,True,False
3,12101.6371,6982.4568,1e-06,-0.061736,0.998468,83.5611,True,False
4,9519.5947,6590.6678,1e-06,-0.002161,0.970051,81.1829,True,False
5,9250.6692,6663.1338,1e-06,-0.01318,0.97537,81.628,False,False
6,9243.9221,6671.1108,1e-06,-0.014393,0.975954,81.6769,False,False
7,9244.7861,6676.618,1e-06,-0.015231,0.976356,81.7106,False,False
8,9225.5301,6676.9429,1e-06,-0.01528,0.97638,81.7126,False,False
9,9247.1189,6660.766,1e-06,-0.01282,0.975197,81.6135,False,False
10,9248.0407,6668.1924,1e-06,-0.01395,0.97574,81.659,False,False
11,9247.099,6673.2848,1e-06,-0.014724,0.976113,81.6902,False,False
12,9241.8348,6669.3538,1e-06,-0.014126,0.975825,81.6661,False,False
13,9247.8742,6675.0227,1e-06,-0.014988,0.97624,81.7008,False,False
14,9242.8209,6662.2594,1e-06,-0.013047,0.975306,81.6227,False,False
15,9233.4408,6655.16,1e-06,-0.011968,0.974786,81.5792,False,False
16,9237.9011,6687.0836,1e-06,-0.016822,0.977121,81.7746,False,False
17,9238.5208,6667.6422,0.0,-0.013866,0.9757,81.6556,False,False
18,9233.3639,6685.5132,0.0,-0.016583,0.977006,81.765,False,False
19,9244.3184,6659.6086,0.0,-0.012644,0.975112,81.6064,False,True
