epoch,pdr_mean,pdr_std,r2_mean,r2_std,vloss_mean,vloss_std,n_runs,group
51,2.0775862068965517e-06,3.149030672064477e-06,-0.005157551724137929,0.008399985320538107,2663.593749137931,2322.37556543808,116,collapsed
52,2.068965517241379e-06,3.1505996635863227e-06,-0.005161905172413791,0.008398693142366163,2663.601294827586,2322.372568197718,116,collapsed
53,2.068965517241379e-06,3.1505996635863227e-06,-0.005162862068965515,0.008398401023816207,2663.6029724137925,2322.3719017512294,116,collapsed
54,2.068965517241379e-06,3.1505996635863227e-06,-0.005161999999999999,0.008398654683935993,2663.6014568965516,2322.3725037091885,116,collapsed
55,2.068965517241379e-06,3.1505996635863227e-06,-0.005163741379310343,0.00839814839518796,2663.6044956896553,2322.371296778469,116,collapsed
56,2.068965517241379e-06,3.1505996635863227e-06,-0.005165775862068964,0.008397530805074547,2663.608031034483,2322.3698923441407,116,collapsed
57,2.068965517241379e-06,3.1505996635863227e-06,-0.005165775862068964,0.008397530805074547,2663.608031034483,2322.3698923441407,116,collapsed
58,2.068965517241379e-06,3.1505996635863227e-06,-0.005165775862068964,0.008397530805074547,2663.608031034483,2322.3698923441407,116,collapsed
59,2.068965517241379e-06,3.1505996635863227e-06,-0.005165775862068964,0.008397530805074547,2663.608031034483,2322.3698923441407,116,collapsed
60,2.068965517241379e-06,3.1505996635863227e-06,-0.005165775862068964,0.008397530805074547,2663.608031034483,2322.3698923441407,116,collapsed
1,0.013181792253521127,0.04963258560531392,-2.5589543908450705,1.2057612955435548,9270.124369718309,7421.173500951207,284,normal
2,0.040968401408450705,0.15756556496413052,-0.6639859225352113,0.47070053526579725,5330.944095070422,5555.504574967971,284,normal
3,0.05694739084507043,0.20891853665750038,-0.009713897887323948,0.22883540353208082,3520.152874647887,3996.5097994411926,284,normal
4,0.061430419014084504,0.2235587803103922,0.04164728169014085,0.22233529442438912,3234.9101299295776,3580.7099740142007,284,normal
5,0.06452557042253519,0.2347995043126141,0.04230271126760563,0.22611191921629695,3217.5371334507045,3544.1637758161296,284,normal
6,0.06527566549295774,0.23726212823123322,0.04321411971830985,0.23078470298502687,3215.9084623239437,3545.925126095678,284,normal
7,0.06719920070422533,0.23831140899226524,0.04586344014084506,0.23199454270748757,3215.268072183099,3544.255117399301,284,normal
8,0.06804902112676055,0.2410017558362918,0.048327816901408444,0.2372038000862122,3212.516557042253,3543.6718226134035,284,normal
9,0.06988017253521128,0.24551217748964335,0.049436535211267604,0.23529304972008788,3213.2153274647885,3543.7067191987844,284,normal
10,0.07573341197183099,0.25524847036185383,0.05515785211267604,0.2414720544275549,3211.871620774648,3545.856354578499,284,normal
11,0.0824975352112676,0.2568490842774767,0.06415055985915495,0.24191617483981245,3207.8508492957744,3548.3333983843627,284,normal
12,0.10976352464788731,0.29537940924566797,0.09428630985915494,0.2747294799949678,3190.932422535211,3559.4260633915,284,normal
13,0.12515319366197183,0.31462497546781143,0.10860702464788732,0.29345440313754495,3178.9421859154927,3568.2256784507463,284,normal
14,0.12846149647887323,0.32185912688713014,0.11181482042253521,0.2998992067070309,3175.9209264084507,3568.7017838374477,284,normal
15,0.1391478485915493,0.33281615792871494,0.11907282042253522,0.30339745437027915,3166.498598239437,3573.8213688639075,284,normal
16,0.15232532394366197,0.3422361247910478,0.13393686267605634,0.3204549163818658,3125.5192961267608,3549.653957644641,284,normal
17,0.15977768309859156,0.3505233971263418,0.139738588028169,0.3241062970156333,3094.9246676056337,3525.9037561384825,284,normal
18,0.18288823239436622,0.366159066426808,0.15648199647887323,0.3337428212101759,3044.3604538732397,3527.5043273805445,284,normal
19,0.2102622183098591,0.37574921895196095,0.18544805633802816,0.34909659998336784,2998.300398239436,3549.3851483691155,284,normal
20,0.2326462746478873,0.4000465640600284,0.19904723591549298,0.3606677339898558,2974.151553873239,3554.8073586771943,284,normal
21,0.24266816901408447,0.40284415090481945,0.2162142147887324,0.3750942754469657,2957.246170422535,3576.8521202516577,284,normal
22,0.2574547007042253,0.4130707695463212,0.22799539436619717,0.38067495916984634,2918.4403616197183,3551.3387404048385,284,normal
23,0.2729131866197183,0.420717604353968,0.24165614788732395,0.3871807900815072,2820.7179450704225,3474.2040767242356,284,normal
24,0.2855986795774648,0.42841224986165793,0.25362671126760566,0.39542800642997483,2788.5494112676056,3482.202436548238,284,normal
25,0.2848648239436619,0.4267031063165764,0.2552371549295775,0.39737778417043945,2786.010967253521,3482.7092970597046,284,normal
26,0.29250691197183104,0.426021620023408,0.26165479577464795,0.3937991217151727,2754.6408609154932,3462.5605514624563,284,normal
27,0.30141920422535207,0.4337804661231551,0.2714701936619718,0.40404004322133347,2724.007045774648,3463.0810015629604,284,normal
28,0.32512445774647886,0.4370478714864699,0.29293828873239436,0.4064414394396427,2699.2208422535214,3491.1836743395247,284,normal
29,0.3587676830985916,0.4449203585617978,0.32204016901408455,0.4113479758955583,2520.8136725352115,3254.4639480376513,284,normal
30,0.3647400457746479,0.4460098091023509,0.3320335457746479,0.4167351288833689,2454.518257394366,3209.425695874325,284,normal
31,0.3729904436619718,0.4480725959995175,0.337562661971831,0.41705595415227514,2433.5574693661974,3214.9094437285735,284,normal
32,0.4037404366197183,0.45195704652811314,0.3633886830985915,0.41720764890196826,2320.6095690140846,2994.7624247559947,284,normal
33,0.4516235457746479,0.44869576580517717,0.40694495774647893,0.4162093505618258,2134.915832746479,2807.5475338603947,284,normal
34,0.4724639225352113,0.4535687701446332,0.42570149647887323,0.41982797211379275,2085.4637183098594,2782.4194933396084,284,normal
35,0.49437647887323943,0.45148143596503765,0.4465300105633802,0.41805650701786146,2049.0983232394365,2783.263025336073,284,normal
36,0.5281797746478873,0.44841636541568286,0.47840692605633806,0.41507501561467924,2005.1936926056337,2788.739604504691,284,normal
37,0.5658103873239437,0.4368140415055995,0.5117108591549295,0.4047105343806749,1819.4634880281692,2563.0344545254,284,normal
38,0.5872887147887325,0.43717721931979686,0.5248491795774648,0.40246955859628636,1774.9390890845068,2534.9877075852814,284,normal
39,0.6213840352112676,0.4199682287985221,0.5528040985915493,0.38436000186513286,1670.9271926056338,2305.794871533746,284,normal
40,0.6506405035211268,0.41572958606008986,0.5794953943661971,0.3827950983049301,1567.589154577465,2178.7724248704367,284,normal
41,0.6878073028169014,0.38754540850489405,0.6227506126760564,0.3600653148515596,1456.5669183098591,2086.6999737420347,284,normal
42,0.7620201654929577,0.3415034844475237,0.6859484225352113,0.31909232252530945,1288.5797105633803,1911.7853967626727,284,normal
43,0.7871794436619719,0.3106140426457791,0.7095340809859155,0.2912474810143207,1191.1369528169014,1736.246010489749,284,normal
44,0.8830637992957746,0.13441837655025782,0.7986342429577467,0.14619999296709385,958.5726873239437,1393.758089053973,284,normal
45,0.9063001197183098,0.07331260149230945,0.8189378802816901,0.10949171050679579,909.4642327464788,1360.928179632872,284,normal
46,0.9166144859154929,0.062288816960238864,0.8219288908450704,0.10538358973313114,892.3655658450706,1326.8029135198349,284,normal
47,0.9178651830985917,0.06939617283543749,0.8286679964788733,0.10666803103420808,890.8622855633803,1351.905013868456,284,normal
48,0.9187937957746478,0.06546400742489956,0.825583059859155,0.11391232874891084,914.2131690140844,1429.3414709139633,284,normal
49,0.9172868591549297,0.06692565182408576,0.823387088028169,0.11923566504259832,903.8151211267606,1362.7787124339222,284,normal
50,0.9236240352112675,0.06008442687748585,0.8349588802816902,0.1014165906671192,851.7845915492958,1266.2384379984712,284,normal
51,0.9226121795774648,0.06250721843757134,0.8412372605633803,0.09797740374721502,822.4591369718308,1232.706517070248,284,normal
52,0.9150339999999999,0.07218307335103852,0.8405478767605633,0.10090407941213012,836.3165482394365,1257.7324291314912,284,normal
53,0.9182218450704224,0.06908204197544485,0.8392081232394367,0.10224635271226139,850.6609338028169,1290.9449754555078,284,normal
54,0.9229522429577464,0.06379160481191631,0.8418684753521126,0.1048172697204559,839.1486845070422,1289.6596923431296,284,normal
55,0.9199071091549297,0.06669080802066618,0.8374026514084508,0.10828728055976793,853.3319757042254,1316.1287945834476,284,normal
56,0.9253072570422535,0.06296005514370213,0.8417507253521126,0.10202491028128102,836.8169404929578,1272.1477589227343,284,normal
57,0.9264736443661972,0.06577781956095799,0.8428929507042253,0.10549208907789578,848.6225133802816,1300.6938131425857,284,normal
58,0.9189895352112677,0.0669385930560706,0.8447464401408451,0.10149702984865383,827.7555566901409,1268.3051557438748,284,normal
59,0.9298814295774648,0.06435091091899318,0.8455644823943662,0.1014048483415821,826.1750542253521,1266.8623197681788,284,normal
60,0.923628735915493,0.06844109704705355,0.8424273169014085,0.10485016383572533,844.0146552816901,1303.9169151865312,284,normal
